STATE,30-Apr,29-Apr,28-Apr,27-Apr,26-Apr,25-Apr,24-Apr,23-Apr,22-Apr,21-Apr,20-Apr,19-Apr,18-Apr,17-Apr,16-Apr,15-Apr,14-Apr,13-Apr,12-Apr,11-Apr,10-Apr,9-Apr,8-Apr,7-Apr,6-Apr,5-Apr,4-Apr,3-Apr,2-Apr,1-Apr,31-Mar,30-Mar,29-Mar,28-Mar,27-Mar,26-Mar,25-Mar,24-Mar,23-Mar,22-Mar,21-Mar,20-Mar,19-Mar,18-Mar,17-Mar,16-Mar,15-Mar,14-Mar,13-Mar,12-Mar,11-Mar,10-Mar,9-Mar,8-Mar,7-Mar,6-Mar,5-Mar,4-Mar,3-Mar,2-Mar,1-Mar
Alaska,-24%,-24%,-27%,-29%,-42%,-33%,-31%,-36%,-31%,-33%,-33%,-43%,-38%,-31%,-37%,-32%,-37%,-35%,-52%,-42%,-39%,-41%,-35%,-37%,-38%,-47%,-39%,-38%,-39%,-36%,-40%,-38%,-44%,-37%,-33%,-36%,-31%,-28%,-26%,-26%,-22%,-17%,-17%,-6%,-3%,-2%,-2%,0%,0%,3%,4%,4%,6%,-1%,0%,3%,3%,5%,4%,6%,6%
Alabama,-39%,-39%,-38%,-35%,-48%,-41%,-39%,-42%,-40%,-40%,-38%,-52%,-45%,-42%,-44%,-42%,-44%,-41%,-69%,-45%,-43%,-43%,-43%,-42%,-39%,-48%,-44%,-41%,-42%,-41%,-40%,-37%,-44%,-38%,-36%,-36%,-35%,-34%,-31%,-36%,-27%,-25%,-20%,-14%,-9%,-4%,-1%,2%,-1%,-2%,0%,0%,3%,4%,7%,2%,0%,-1%,1%,7%,7%
Arkansas,-33%,-31%,-36%,-33%,-43%,-38%,-34%,-36%,-34%,-36%,-33%,-45%,-40%,-33%,-36%,-34%,-39%,-37%,-62%,-41%,-37%,-37%,-34%,-36%,-32%,-47%,-39%,-35%,-35%,-34%,-37%,-34%,-43%,-38%,-35%,-34%,-32%,-33%,-27%,-38%,-25%,-24%,-20%,-15%,-10%,-7%,-3%,-2%,-4%,-3%,-1%,-3%,-3%,8%,3%,-1%,-2%,-1%,-1%,1%,1%
Arizona,-36%,-37%,-37%,-38%,-48%,-42%,-38%,-38%,-36%,-37%,-36%,-48%,-42%,-37%,-36%,-37%,-37%,-38%,-59%,-42%,-37%,-36%,-37%,-37%,-36%,-45%,-41%,-36%,-37%,-35%,-33%,-31%,-40%,-33%,-30%,-30%,-29%,-30%,-26%,-33%,-27%,-22%,-20%,-15%,-11%,-6%,-7%,-4%,-6%,-5%,-4%,-3%,-2%,-2%,-2%,-2%,-1%,-2%,-2%,0%,0%
California,-46%,-46%,-47%,-46%,-50%,-49%,-46%,-46%,-46%,-47%,-47%,-52%,-50%,-47%,-48%,-47%,-48%,-48%,-60%,-51%,-48%,-48%,-48%,-48%,-47%,-52%,-50%,-47%,-47%,-47%,-47%,-46%,-51%,-50%,-47%,-47%,-46%,-46%,-44%,-49%,-46%,-40%,-34%,-29%,-22%,-11%,-8%,-5%,-4%,-3%,-3%,-3%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
Colorado,-39%,-40%,-38%,-40%,-48%,-46%,-41%,-41%,-42%,-41%,-43%,-50%,-48%,-44%,-46%,-43%,-44%,-47%,-64%,-48%,-44%,-43%,-44%,-43%,-43%,-49%,-48%,-45%,-45%,-43%,-44%,-44%,-49%,-48%,-42%,-41%,-36%,-34%,-31%,-36%,-33%,-32%,-33%,-24%,-20%,-10%,-6%,-3%,-4%,-3%,-2%,-2%,-3%,1%,-1%,0%,-1%,-2%,0%,0%,0%
Connecticut,-49%,-48%,-48%,-49%,-52%,-50%,-49%,-48%,-48%,-49%,-50%,-56%,-54%,-54%,-51%,-49%,-49%,-54%,-70%,-51%,-53%,-49%,-48%,-50%,-50%,-51%,-51%,-50%,-49%,-50%,-46%,-49%,-54%,-50%,-46%,-46%,-45%,-44%,-46%,-43%,-38%,-35%,-33%,-30%,-25%,-9%,-2%,-2%,-4%,-1%,-1%,-1%,3%,4%,1%,-2%,-1%,1%,0%,2%,2%
District of Columbia,-61%,-61%,-61%,-57%,-61%,-61%,-64%,-64%,-64%,-59%,-60%,-62%,-60%,-62%,-64%,-61%,-59%,-58%,-60%,-57%,-60%,-60%,-61%,-61%,-54%,-56%,-55%,-57%,-57%,-60%,-53%,-50%,-56%,-51%,-54%,-55%,-55%,-49%,-43%,-50%,-49%,-44%,-45%,-39%,-35%,-16%,-12%,-9%,-10%,-5%,-5%,-5%,-2%,-7%,1%,1%,0%,0%,0%,-2%,-2%
Delaware,-42%,-47%,-44%,-42%,-57%,-54%,-45%,-48%,-47%,-44%,-42%,-64%,-51%,-47%,-49%,-48%,-47%,-47%,-84%,-56%,-49%,-47%,-47%,-48%,-46%,-55%,-48%,-43%,-46%,-46%,-44%,-41%,-46%,-53%,-43%,-43%,-44%,-41%,-29%,-36%,-34%,-26%,-24%,-19%,-24%,-15%,-2%,-11%,-1%,-1%,-1%,-4%,-1%,-2%,0%,-4%,-3%,-1%,-4%,-7%,-7%
Florida,-45%,-45%,-45%,-44%,-53%,-50%,-47%,-46%,-46%,-46%,-45%,-55%,-52%,-47%,-47%,-47%,-47%,-46%,-66%,-53%,-49%,-47%,-47%,-47%,-45%,-54%,-52%,-46%,-44%,-44%,-43%,-41%,-50%,-47%,-42%,-40%,-39%,-37%,-33%,-40%,-34%,-25%,-21%,-18%,-12%,-8%,-7%,-5%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-4%,-4%,-4%,-3%,-3%,-3%
