Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Life Expectancy,GDP PPP
Norway,1,7.537000179,7.594444821,7.479555538,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2.277026653,84.462,"60,978"
Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,2.313707352,80.7,"50,541"
Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282,83.056,"53,518"
Switzerland,4,7.493999958,7.56177242,7.426227496,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232,83.489,"65,006"
Finland,5,7.468999863,7.527542076,7.41045765,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,2.430181503,81.386,"45,192"
Netherlands,6,7.376999855,7.427425841,7.326573869,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096,81.345,"52,941"
Canada,7,7.315999985,7.384402835,7.247597134,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,2.187264442,82.563,"46,378"
New Zealand,8,7.31400013,7.379510442,7.248489818,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,2.046456337,82.361,"40,917"
Sweden,9,7.28399992,7.344094877,7.223904962,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994,82.683,"50,070"
Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819,82.906,"47,047"
Israel,11,7.212999821,7.279853256,7.146146385,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,2.801757336,82.932,"38,267"
Costa Rica,12,7.078999996,7.168111666,6.989888326,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,2.898639202,79.993,"17,044"
Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413,81.971,"52,558"
United States,14,6.993000031,7.074656748,6.911343313,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,2.218113422,79.501,"59,532"
Ireland,15,6.977000237,7.043351668,6.910648805,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,1.773869038,81.431,"76,305"
Germany,16,6.951000214,7.005381569,6.896618858,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,2.015769958,81.449,"50,715"
Belgium,17,6.890999794,6.95582075,6.826178838,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,2.124210358,81.345,"47,561"
Luxembourg,18,6.862999916,6.9236861,6.802313732,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,1.619512081,82.255,"103,662"
United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,1.704143524,81.167,"43,877"
Chile,20,6.65199995,6.73925056,6.564749341,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,2.509585857,82.515,"24,085"
United Arab Emirates,21,6.647999763,6.722047304,6.573952223,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564,1.734703541,77.46,"73,879"
Brazil,22,6.635000229,6.725469502,6.544530956,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2.769267082,75.287,"15,484"
Czech Republic,23,6.609000206,6.683862463,6.534137949,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,2.451861858,79.061,"36,916"
Argentina,24,6.598999977,6.690085086,6.507914868,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,2.614005327,76.817,"20,787"
Mexico,25,6.578000069,6.671148908,6.48485123,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,2.837154865,77.382,"18,149"
Singapore,26,6.572000027,6.636723069,6.507276984,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,1.216362,83.608,"93,905"
Malta,27,6.52699995,6.598396773,6.455603128,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,1.556862831,81.073,"39,534"
Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534,77.663,"22,563"
Guatemala,29,6.453999996,6.566873973,6.34112602,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,2.893891096,72.523,"8,150"
Panama,30,6.452000141,6.557130716,6.346869566,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2.307199955,78.098,"24,446"
France,31,6.441999912,6.515767802,6.368232022,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428,2.005954742,82.74,"42,779"
Thailand,32,6.423999786,6.509116856,6.338882717,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,2.039508343,74.985,"17,871"
Taiwan Province of China,33,6.421999931,6.494596022,6.349403841,1.433626533,1.384565353,0.793984234,0.361466587,0.258360475,0.063829236,2.126607418,80.163,N/A
Spain,34,6.402999878,6.471054845,6.334944911,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,1.92775774,83.127,"38,091"
Qatar,35,6.375,6.568476814,6.181523186,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,0.439299256,1.14546442,78.623,"128,378"
Colombia,36,6.356999874,6.452020054,6.261979694,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,2.616068125,74.624,"14,552"
Saudi Arabia,37,6.343999863,6.444166612,6.243833113,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,2.065429688,74.721,"53,845"
Trinidad and Tobago,38,6.168000221,6.381533891,5.954466552,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,2.053247452,70.718,"31,578"
Kuwait,39,6.105000019,6.191956989,6.018043049,1.632952452,1.259698749,0.632105708,0.496337593,0.228289798,0.21515955,1.640425205,74.772,"71,943"
Slovakia,40,6.09800005,6.177348412,6.018651687,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852,2.097776651,76.646,"32,111"
Bahrain,41,6.086999893,6.178989068,5.995010719,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217,1.656149387,76.987,"47,527"
Malaysia,42,6.084000111,6.179979637,5.988020585,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,2.004448891,75.234,"29,432"
Nicaragua,43,6.071000099,6.1865836,5.955416598,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982,2.513930559,75.768,"5,842"
Ecuador,44,6.007999897,6.105847675,5.910152119,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647,2.290352583,76.594,"11,617"
El Salvador,45,6.002999783,6.108635122,5.897364443,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,2.714593887,73.751,"8,006"
Poland,46,5.97300005,6.053908341,5.892091758,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,1.797722816,77.937,"29,291"
Uzbekistan,47,5.971000195,6.065537573,5.876462816,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223,1.816913605,68.753,"6,865"
Italy,48,5.964000225,6.042736906,5.885263544,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,1.813312054,83.686,"39,817"
Russia,49,5.962999821,6.030274907,5.895724734,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,2.205607414,70.443,"25,533"
Belize,50,5.955999851,6.197242318,5.714757385,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,2.631955624,70.362,"8,590"
Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553,83.995,"43,876"
Lithuania,52,5.90199995,5.982669641,5.821330259,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,2.228440523,73.727,"32,093"
Algeria,53,5.872000217,5.978286434,5.765714001,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,2.567603827,75.486,"15,275"
Latvia,54,5.849999905,5.920263538,5.779736271,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,1.993655205,74.519,"27,598"
South Korea,55,5.837999821,5.922559028,5.753440613,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,0.063282669,1.880378008,82.626,"38,335"
Moldova,56,5.837999821,5.908370838,5.767628803,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,2.807808399,71.852,"5,698"
Romania,57,5.824999809,5.919694157,5.730305462,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901,2.176831484,75.079,"25,841"
Bolivia,58,5.822999954,5.903976903,5.742023006,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,2.443279028,69.452,"7,560"
Turkmenistan,59,5.822000027,5.885180876,5.758819178,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,1.832909822,66.009,"17,993"
