Date,Search,Tweet,Likes,Shares
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",It feels like we’re at the part of Squid Game when they all voluntarily decided to come back and play Squid Game.,36100,3243
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",lola and satbyeol doing a squid game dance,116,22
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",eunji as gihun bomi as deoksu and namjoo as ilnam in squid game im still laughing to death😭😭😭,191,45
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",after watching encanto and squid game i'm never trusting old people again.,62,9
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",Succession and Squid Game releasing in the same year really demonstrated that no matter how fun your show is certain people will only care about reiterating that they understood the very obvious theme.,359,22
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","2021 regret: squid game was not actual squids (and other cephalopods, for variety) competing in puzzle games and underwater obstacle courses  🦑☹️🐙",137,9
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",namjoo as ilnam and naeun as sangwoo from squid game they're insane,115,42
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",People in jumpsuits who live in cells forced to work for an evil and oppressive ruling class? Freaking squid game stole from Animorphs,31,4
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","looking for 30-40 content creators to be a backup for the $1000 squid game event

drop a reply if you're interested, and vouch for who you wanna see in",423,10
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",It's not even 2022 yet but Squid game and all its memes have all phased out like it never existed. I'm never trusting Asian products and don't blame it on China.,38,9
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","🍞💭
[220101, 12:01AM KST]

“happy new year!! my loves”

“it was so funny and everyone was going crazy while filming for squid game ㅋㅋㅋㅋ”

*sticker*

“let’s be happier this year my loves”

“you were really happy right!?!”",57,21
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","Remember the reward and vision my fellow Iconists, remember🌐 #ICX

Like Squid Games this game is optional, game where weakest minds, AKA paper hands, drop first. At the end it's us, the strongest and smartest players who share the reward 🚀🔥💰

BTP+TOKEN BURN+INCENTIVE PROGRAM",12,2
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","What was your favourite TV Series of 2021? 🏆

I'm very stuck between Flux and Squid Game. I think I'm gonna have to go with Squid Game though. That was amazingly good although Flux would have got it if it wasn't for how it all ended and it had some other minor improvements.",40,7
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","Fukka prepared party games with fun prizes like PS5 and Nintendo Switch!

There's even the Dalgona game from Squid Game🦑",43,6
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","For part of my redebut we’re going to do another tierlist! 

How well do I think you’d do in Squid Game?

✨SUPER IMPORTANT ✨
1. Post your ICON!! Not a full png.
2. Tell me one strategy you’d use to try and win Squid Game.

#Vtuber #ENVtuber #VTuberUprising",24,10
12-29-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","Atman S❤️ @SilambarasanTR_ ❤️R’s 
#Maanaadu Reference in Netflix’s Squid Game Promotion!! 

Movie enamoo @SonyLIV la than,
But enga Reach @NetflixIndia 🔥🔥🔥

Forever Loving you unconditionally 
#SilambarasanTR ❤️T♾
#OneMonthOfSTRsMaanaadu Done And Dusted 🔥🔥🔥",63,24
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",watching Squid Game and I finally know what Minhyuk was talking about here 😅,7,0
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",#HometownChaChaCha and squid game were the only Korean drama chosen by imdb users as the best watched show In 2021 where Hometown cha cha cha ranked 27 out of 37 global shows 🎉🎉🎉,44,20
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",WHO THOUGHT THIS GAME WAS A GOOD IDEA JESUS CHRIST        me when I unknowingly sign and participate in squid game,27,4
12-30-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","Our Admin  Christmas Party 2021 🌲
Squid Game themed and luckily (unfortunate actually) picked black to represent the villain in the movie 😜😁🤣 #party no. 1",6,0
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",working on a squid game piece and I am very happy with how the portraits of Sang Woo and Sae-Byeok have come out so far,13,2
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17",Who had the strongest track suit game in 2021 ? Ted Lasso and his coaching staff. Squid Game or the Track Suit Mafia from Hawkeye,5,0
12-31-21,"""squid"" and ""game"" until:2022-01-01 since:2021-09-17","Trying to avoid omicron in stores by staying 6ft apart is like a squid game level pac-man , except it's real life and there's not enough pills/vaccines to make it safe and nobody's following the patterns/arrows ... and it's everywhere with no choice 🙃😷

#Omicron #covid19nfld",20,3
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","i just know this man watched squid game and probably thought to himself, ""damn i dont think those twins would make it past round 4. suna would cry when he woke up without his phone"" while smiling at his positive bank balance",67,7
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Me after converting the money in squid games to USD and seeing they was taking headshots over playground games for 39 Million Dollars.,514,30
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",squid game just keeps on proving that women in suits > anything and everything else,254,15
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","*squid game spoilers but no angst only silliness*

sakuatsu are watching squid game together and they get to the marbles episode.

“would you sacrifice yourself for me?” omi asks, deadly serious.

“no,” atsumu makes the mistake of joking.",596,78
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","imagine you playing red light, green light in squid game and a BTS song comes on....naur sh0ts gonna be fired at me right that instant....",212,35
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","// squid game spoilers

AND FUCK SANGWOO!",8,1
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",I can’t be the only one who hasn’t watched Qismat 2 and Squid Game💀,73,9
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",wow i love sangwoo and gi-hun from squid game !! #SquidGames,42,10
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Na only me and 2 people for this app never watch Squid game 😐,33,12
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",im rewatching squid game with a friend who hasnt seen it before and im on the part where saebyeok promises her little brother that their family will all live together,66,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Just finished Squid Game and what the actual hell 😭,19,0
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17","Squid Game is the best Netflix phenomenon since Queen's Gambit.

Gory and exciting but also deep and layered. Asking audiences just how far would they go to wipe out their debts and become rich.

Emotional, satisfying and well worth your time.

Grade: 9/10",70,2
9-29-21,"""squid"" and ""game"" until:2021-09-30 since:2021-09-17",Me and the boys when it’s time to play squid game. And by the boys I mean the people in my head.,9,0
