Source,Date,Search,Character,Comment,Likes,Shares,Valence,Category
Twitter,7-7-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"nate is not goin to jail, he's goin to prison, and jules and maddy are going to make it happen #feelEUPHORIA #EUPHORIA",337,46,Negative,Justice
Twitter,7-9-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,cant sleep knowing nate and maddy from euphoria may be toxic but they have the sexiest height difference out here,308,96,Neutral,Shipping
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,I had to go back and rewatch Jules and Nate scene... Nah he gotta go 👉🏽 Maddy should have exposed his ass 🤦🏾‍♀️ #Euphoria #EuphoriaHBO,62,6,Negative,Justice
Twitter,7-7-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"My thoughts tonight:
Bad bitch Kat
Really Gia
Jules don’t play with Rue
Nate wtf...like sicko
Maddy muthafuckin RUN BITCH End of thoughts:
And that’s on periodt #Euphoria",41,4,Negative,Insult
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"This show is fucking sick and I love it so much. My personal opinion though: Fuck you Nate you son of a bitch. Love you Rue and Jules. Be careful Maddy and Cassie. And watch your ass Gia. 
#Euphoria",5,1,Negative,Insult
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,really need for someone to take Nate's psychotic ass down because it's so scary how he psychologically manipulates everyone who crosses him and it gets to the point where I just need Jules and Maddy to fuck his shit up like I'm scared for both of the girls #Euphoria,6,1,Negative,Justice
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,I really hope Maddy ditches Nate and his fucked up self. Those bruises on her neck are nothing to joke about! She deserves better!  #Euphoria #feelEUPHORIA #EuphoriaHBO,6,0,Negative,Insult
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Nate and his Father need to go to JAIL PERIODT. Maddy and Jules need to team up and make that happen. #Euphoria,10,0,Negative,Justice
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"What I've learned so far from Euphoria, Fez is in love with Rue, Rue is in love with Jules, Jules in in love with Tyler/Nate, Kat is very insecure also very confident, Maddy and Nate deserve each other, drugs only make you happy for a minute then you go back to being depressed!",16,1,Neutral,Shipping
Twitter,7-9-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"Me, when Nate started shocking Maddy and then again his whole interaction with Jules: 
#Euphoria",2,0,Negative,Justice
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"I’m feeling so many emotions rn. Fuck Nate, he’s a horrible person.
I feel so bad for Jules, but why she gotta play Rues emotions like that?
Kat is a bad bitch living her best life 
I feel so bad for Maddy and Cassie #Euphoria",4,0,Negative,Insult
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"#Euphoria 1) can y’all give Cassie a break like damn bro let the girl live! 2) Nate ..... GOTTA GO. bro got some ISSUES he needa fix 3) Maddy and Kat are the baddest bitches. period. 4) Rules (jules + rue) better LIVE! this ship betta SAIL 
@euphoriaHBO",12,1,Negative,Insult
Twitter,7-7-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Maddy and Nate are so toxic; literal cringe. #euphoria,1,0,Negative,Anti-shipping
Twitter,7-7-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Nate and Maddy are both psychos #euphoria,6,3,Negative,Insult
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Nate and Maddy from #Euphoria would be soo cute if it weren’t for the cheating and abuse and literally everything else,2,0,Negative,Shipping
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,I love maddy’s character and it makes me so sad the fact that she’s in love with nate. she should present charges fr. #euphoria,5,0,Negative,Justice
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,this episode of euphoria was...interesting. nate is psycho trash. him and maddy actually deserve each other.,2,0,Negative,Shipping
