Source,Date,Search,Character,Comment,Likes,Shares,Valence,Category
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,If anything Jules AND Nate can ruin each others lives so he's looking like a damn clown trynna intimidate her. #Euphoria and how the hell is he gonna almost kill a nigga for Maddy and then pull that shit he did on her. He aint shit just like his daddy.,0,0,Negative,Insult
Twitter,7-7-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"Rue, Jules and Maddy gotta team up and get rid of Nate. I said what I said. He got ta go! He is a psychopath. #Euphoria #EuphoriaHBO #feelEUPHORIA",6,3,Negative,Justice
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,#EUPHORIA had my anxiety through the roof. Nate is a sociopath. He can literally catch hands for hurting both Maddy and Jules. Don’t you EVER put your hands on them again. I can’t believe we really got Jules initiating the kiss. Zendaya and Hunter said WLW rights! #EuphoriaHBO,1,2,Negative,Insult
Twitter,7-7-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Maddy run to the police and LOCK UP NATE ‼️‼️ #Euphoria #EuphoriaHBO,0,0,Negative,Justice
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"euphoria has my ass HOOKED. nate has become probably the most hated character i’ve ever known, maddy is simultaneously a bad bitch and a bitch, kat is THAT bitch and god rue and jules. oh lord. there’s a big storm coming.",2,0,Negative,Insult
Twitter,7-8-19,"""nate"" and ""maddy"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"Nate is nuts, we all saw how crazy he was after he broke into dude house and assaulted him. Can we all agree that maddy disrespectful though 😂 she don’t give a.f #EUPHORIA",1,0,Negative,Insult
Twitter,7-7-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,And I'mma need Nate to calm down on grabbing these girl's throats! Homie getting real reckless! 😬 #Euphoria,25,7,Negative,
Twitter,7-7-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Why is Nate always being such an asshole? Like I really wanted to root for you and then you go do something stupid LIKE ALWAYS #Euphoria #EuphoriaHBO,27,5,Negative,Conflicted
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,episode 4 of euphoria was the best one yet and my damaged ass is attracted to nate now because of his psychotic behavior. i need a therapist,31,5,Negative,Attractive
Twitter,7-12-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Nate and his dad in Euphoria are both so hot,9,0,Positive,Attractive
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,NATE IS A PSYCHO!!!!! HE NEEDS TO BE PUT SOMEWHERE!! I know the criminal justice system is a mess an all and it’s truly fuck jail but Nate needs to go somewhere #Euphoria,6,0,Negative,Justice
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,So I watched euphoria and to all those who hate Nate we ride at dawn im not playing we’ll get him,4,0,Negative,Justice
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,euphoria is such an amazing show tonights episode was so trippy but jules is a bad ass bitch and nate needs to stop with the abuse andddddd stop being a pussy boi and suck a cock lmao but im not talking abt me nate im talking abt the character lolololol #jules #Euphoria,3,0,Negative,Insult
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,nate and his dad deserve JAILLLLL #Euphoria,5,2,Negative,Justice
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"The only satisfying ending for Nate in #Euphoria is for all the ladies to team up, Big Little Lies style, and kill him.",3,2,Negative,Death
Twitter,7-7-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"a summary of tonight’s episod: jules’s mom ain’t shit, rue is making progress in her recovery, cassie likes public sex...so does kat(she gonna get her ass pregnant if she don’t stop) and nate is a fucking asshole but we been knew that so what’s rlly the tea 🤷🏽‍♀️#EUPHORIA",64,3,Negative,Insult
Twitter,7-7-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,Nate is a sociopath and can’t accept what he truly is. A true sociopath. #Euphoria,3,1,Negative,Insult
Twitter,7-8-19,"""nate"" and ""euphoria"" until:2019-07-13 since:2019-07-07",Nate,"i hope nate chokes and i am not sorry 
#euphoria",3,0,Negative,Death
