Date,U.S.,East Coast,Midwest,Gulf Coast,Rocky Mountain,West Coast
1945,1587,,,,,
1946,1979,,,,,
1947,2119,,,,,
1948,2280,,,,,
1949,2410,,,,,
1950,2616,,,,,
1951,2985,,,,,
1952,2954,,,,,
1953,3110,,,,,
1954,3194,,,,,
1955,3463,,,,,
1956,3548,,,,,
1957,3615,,,,,
1958,3711,,,,,
1959,3860,,,,,
1960,3969,,,,,
1961,4043,,,,,
1962,4199,,,,,
1963,4334,,,,,
1964,4403,,,,,
1965,4593,,,,,
1966,4808,,,,,
1967,4958,,,,,
1968,5261,,,,,
1969,5526,,,,,
1970,5785,,,,,
1971,6014,,,,,
1972,6376,,,,,
1973,6674,,,,,
1974,6537,,,,,
1975,6675,,,,,
1976,6978,,,,,
1977,7177,,,,,
1978,7412,,,,,
1979,7034,,,,,
1980,6579,,,,,
1981,6588,,,,,
1982,6539,,,,,
1983,6622,,,,,
1984,6693,,,,,
1985,6831,,,,,
1986,7034,,,,,
1987,7206,,,,,
1988,7336,,,,,
1989,7328,2449,2176,1219,228,1256
1990,7235,2399,2159,1187,225,1263
1991,7188,2340,2124,1200,240,1283
1992,7268,2423,2164,1163,241,1277
1993,7476,2474,2283,1165,248,1307
1994,7601,2532,2316,1171,252,1331
1995,7789,2684,2352,1163,250,1340
1996,7891,2779,2381,1103,253,1374
1997,8017,2835,2417,1131,257,1377
1998,8253,2991,2426,1145,263,1428
1999,8431,3029,2434,1256,272,1439
2000,8472,2988,2437,1292,275,1479
2001,8610,3045,2451,1345,271,1498
2002,8848,3146,2536,1309,285,1572
2003,8935,3216,2561,1312,286,1560
2004,9105,3255,2615,1350,286,1600
2005,9159,3297,2626,1338,277,1621
2006,9253,3318,2629,1386,286,1634
2007,9286,3331,2619,1416,294,1626
2008,8989,3223,2544,1359,288,1575
2009,8997,3227,2535,1407,299,1528
2010,8993,3199,2575,1386,303,1530
2011,8753,3119,2511,1312,300,1510
2012,8682,3085,2490,1306,309,1492
2013,8843,3035,2532,1460,309,1507
2014,8921,3093,2562,1423,308,1535
2015,9178,3188,2615,1481,316,1580
2016,9317,3243,2664,1471,326,1613
2017,9327,3284,2665,1416,327,1633
2018,9329,3285,2673,1401,324,1646
2019,9309,3334,2668,1362,332,1614
2020,8049,2861,2368,1165,294,1360
2021,8795,3132,2572,1256,326,1509
