,Season 1 Recap-2009,Season 2 Recap- 2010,Season 3 Recap- 2011,Season 4 recap- 2012,Season 5 recap- 2013,Season 6 recap- 2014,Season 7 recap- 2015,Season 8 recap- 2016,Season 9 recap- 2017
Participating Schools,55,72,95,107,132,163,135,174,194
Members,303,420,468,568,694,832,"1,054","1,305","1,587"
Teams at Nationals,14,19,25,36,31,33,50,43,67
Competitors at Nationals,65,86,109,141,180,225,303,387,470
Number of Events,31,45,45,49,46,48,,36,36
Number of Regions,6,8,10,11,11,11,13,14,15
