2020 Vermont Personal Income Tax Returns by County and Income Bracket,,,,,,,,,,
,,,,,,,,,,
AGI Income Bracket,Returns,Married Joint,Single,Married Separate,Head of Household,Exemptions,Adjusted Gross Income,Vermont AGI,Vermont Taxable Income,Net Vermont Tax
15000 - 19999,236,44,148,10,34,341,"4,124,748","4,076,082","939,695","-30,591"
20000 - 24999,248,54,150,*,38,370,"5,586,594","5,428,128","1,758,085","-5,852"
25000 - 29999,256,57,138,*,52,424,"7,076,400","6,957,564","2,721,294","5,143"
30000 - 34999,224,39,141,*,38,350,"7,283,199","7,183,634","3,578,084","73,492"
35000 - 39999,216,46,120,*,42,355,"8,080,223","7,886,107","4,322,881","104,303"
40000 - 44999,175,51,104,*,14,279,"7,418,205","7,335,775","4,206,262","124,866"
45000 - 49999,145,58,66,*,13,271,"6,875,994","6,845,384","3,807,165","116,286"
50000 - 59999,229,96,97,10,26,431,"12,572,580","12,366,215","7,799,725","260,049"
60000 - 74999,231,139,69,*,19,495,"15,503,791","15,283,308","10,392,326","370,969"
75000 - 99999,291,215,54,*,15,684,"25,161,867","24,793,862","18,459,473","660,879"
100000 - 149999,248,216,23,*,*,652,"29,492,989","28,496,582","23,229,031","951,436"
150000+,96,77,13,*,0,225,"23,393,075","22,135,255","21,111,653","1,181,184"
,,,,,,,,,,
County Total,"3,383","1,252","1,694",96,341,"5,810","156,662,802","152,842,180","102,766,803","3,749,200"
Franklin,,,,,,,,,,
Negative,311,125,169,*,12,502,"-17,279,389","-17,279,389","26,600","-21,901"
0 - 4999,"1,408",149,"1,178",10,71,"1,302","3,458,117","3,456,378",696,"-93,802"
5000 - 9999,"1,414",184,"1,132",17,81,"1,387","10,612,505","10,558,883","754,872","-129,158"
10000 - 14999,"1,334",183,"1,028",19,104,"1,528","16,697,845","16,600,400","2,668,598","-140,132"
15000 - 19999,"1,253",190,860,24,179,"1,778","21,864,818","21,638,769","5,588,201","-176,325"
20000 - 24999,"1,225",200,796,24,205,"1,868","27,584,940","27,283,398","9,135,125","-93,842"
25000 - 29999,"1,353",221,872,30,230,"2,073","37,279,232","37,096,857","15,647,122","165,062"
30000 - 34999,"1,422",239,890,39,254,"2,284","46,322,273","45,997,161","22,888,334","431,801"
35000 - 39999,"1,469",252,949,38,230,"2,325","55,150,368","54,747,693","30,767,022","795,999"
40000 - 44999,"1,410",275,870,59,206,"2,201","59,786,253","59,297,185","35,865,804","1,079,544"
45000 - 49999,"1,206",262,731,42,171,"1,959","57,316,383","56,762,147","36,168,304","1,142,737"
50000 - 59999,"1,982",577,"1,052",79,274,"3,419","108,445,017","107,136,998","71,578,274","2,446,224"
60000 - 74999,"2,222","1,015",899,68,240,"4,371","148,974,699","147,755,867","104,748,165","3,871,414"
75000 - 99999,"2,773","1,919",608,53,193,"6,562","240,711,924","239,192,213","178,532,129","6,672,813"
100000 - 149999,"2,994","2,609",269,32,84,"8,144","361,739,717","357,903,299","287,162,094","12,334,546"
150000+,"1,493","1,351",112,*,23,"4,102","375,964,856","367,068,301","338,419,201","19,215,061"
,,,,,,,,,,
County Total,"25,269","9,751","12,415",546,"2,557","45,805","1,554,629,558","1,535,216,160","1,139,950,541","47,500,041"
Grand Isle,,,,,,,,,,
Negative,63,24,38,0,*,93,"-1,710,025","-1,710,025","122,397",687
0 - 4999,223,25,184,0,14,214,"515,254","514,295",0,"-20,719"
5000 - 9999,186,22,155,*,*,179,"1,384,562","1,376,371","64,956","-19,425"
10000 - 14999,197,30,145,*,19,251,"2,439,694","2,416,597","306,168","-32,006"
15000 - 19999,196,29,144,*,20,260,"3,405,850","3,359,812","932,188","-16,095"
20000 - 24999,179,37,118,*,22,256,"4,021,135","4,017,135","1,276,785","2,295"
25000 - 29999,209,42,133,*,25,320,"5,786,220","5,722,567","2,321,754","32,159"
30000 - 34999,234,38,158,*,31,350,"7,626,809","7,572,037","3,878,567","86,137"
35000 - 39999,193,44,120,*,25,315,"7,248,012","7,248,012","3,842,207","97,178"
40000 - 44999,186,41,119,*,24,293,"7,894,417","7,857,696","4,742,299","153,928"
45000 - 49999,170,44,106,*,14,258,"8,072,406","7,980,735","5,158,154","176,610"
50000 - 59999,278,84,157,12,25,438,"15,241,287","15,047,600","9,993,147","330,188"
60000 - 74999,337,167,128,12,30,658,"22,609,539","22,323,521","15,521,824","566,723"
75000 - 99999,409,282,104,10,13,865,"35,646,019","35,300,573","26,992,919","1,014,145"
100000 - 149999,482,406,63,*,*,"1,127","58,582,725","58,072,441","47,608,223","1,987,432"
150000+,417,354,53,*,*,996,"130,020,101","127,131,583","118,104,285","7,173,079"
,,,,,,,,,,
County Total,"3,959","1,669","1,925",80,285,"6,873","308,784,005","304,230,950","240,865,873","11,532,316"
Lamoille,,,,,,,,,,
Negative,221,76,137,*,*,323,"-15,511,388","-15,511,388","38,705","-8,626"
0 - 4999,958,101,802,12,43,887,"2,010,481","1,998,687","145,413","-36,984"
5000 - 9999,903,86,761,15,41,877,"6,851,575","6,820,869","210,542","-75,742"
10000 - 14999,866,105,677,14,70,"1,006","10,722,788","10,583,306","1,558,957","-98,056"
15000 - 19999,730,90,528,14,98,978,"12,785,622","12,532,344","3,461,233","-64,556"
20000 - 24999,742,101,524,10,107,"1,058","16,701,307","16,294,774","6,029,719","-13,435"
25000 - 29999,829,111,571,27,120,"1,199","22,897,237","22,581,999","10,441,719","155,173"
30000 - 34999,808,107,546,20,135,"1,192","26,198,530","25,652,958","13,655,478","303,826"
35000 - 39999,809,116,559,26,108,"1,158","30,319,695","29,934,052","17,611,615","497,969"
40000 - 44999,711,137,451,26,97,"1,078","30,178,422","29,639,969","18,722,032","593,891"
45000 - 49999,572,121,366,27,58,874,"27,165,481","26,842,773","17,231,871","542,102"
50000 - 59999,959,289,524,29,117,"1,635","52,493,870","51,952,975","34,331,926","1,169,716"
60000 - 74999,"1,039",478,408,42,111,"2,093","69,691,841","68,765,101","48,699,346","1,774,695"
75000 - 99999,"1,255",853,316,18,68,"2,867","109,398,579","108,085,148","82,039,425","3,068,757"
100000 - 149999,"1,271","1,038",184,16,33,"3,192","152,852,091","149,899,774","122,287,661","5,187,853"
150000+,"1,167",977,146,16,28,"3,010","484,489,349","451,058,166","469,821,001","28,031,949"
,,,,,,,,,,
County Total,"13,840","4,786","7,500",314,"1,240","23,427","1,039,245,480","997,131,506","846,286,643","41,028,532"
Orange,,,,,,,,,,
Negative,240,65,152,11,12,341,"-12,749,940","-12,749,940",0,"-7,167"
0 - 4999,"1,220",158,983,22,57,"1,267","2,502,701","2,487,779","6,050","-59,729"
5000 - 9999,966,130,762,16,58,"1,013","7,256,335","7,177,856","292,147","-107,362"
10000 - 14999,924,140,678,22,84,"1,116","11,515,659","11,362,659","1,616,033","-106,172"
15000 - 19999,756,136,528,15,77,"1,023","13,227,030","13,069,749","3,423,371","-55,261"
20000 - 24999,848,163,545,26,114,"1,219","19,089,671","18,692,032","6,426,061","6,488"
25000 - 29999,921,164,602,16,139,"1,413","25,323,140","25,007,777","10,577,055","122,189"
30000 - 34999,846,149,530,19,148,"1,301","27,468,661","27,178,099","13,610,340","291,909"
35000 - 39999,872,173,528,37,134,"1,383","32,741,081","32,320,586","17,824,476","470,720"
40000 - 44999,856,157,539,33,127,"1,322","36,305,838","35,897,810","21,614,055","654,957"
45000 - 49999,736,191,432,22,91,"1,248","34,906,945","34,502,010","21,499,678","669,862"
50000 - 59999,"1,186",395,597,55,139,"2,082","64,904,078","64,041,151","42,149,806","1,429,841"
60000 - 74999,"1,342",660,528,42,112,"2,604","90,090,902","88,566,896","62,642,075","2,269,003"
75000 - 99999,"1,614","1,130",379,24,81,"3,672","139,876,063","137,177,953","104,173,841","3,791,416"
100000 - 149999,"1,604","1,338",204,15,47,"4,076","193,537,665","189,937,374","155,240,648","6,592,117"
150000+,944,795,128,*,13,"2,315","407,659,953","256,220,429","383,487,351","13,964,240"
,,,,,,,,,,
County Total,"15,875","5,944","8,115",375,"1,433","27,395","1,093,655,782","930,890,220","844,582,987","29,927,051"
Orleans,,,,,,,,,,
Negative,303,128,159,*,12,488,"-20,154,351","-20,154,351","12,744","-21,121"
0 - 4999,"1,250",199,985,15,51,"1,372","2,522,144","2,512,924",0,"-63,265"
5000 - 9999,992,134,777,16,65,"1,103","7,362,331","7,338,090","254,880","-125,550"
10000 - 14999,934,175,646,16,97,"1,229","11,619,644","11,541,608","1,521,486","-164,725"
15000 - 19999,840,157,567,14,102,"1,195","14,667,375","14,506,240","3,668,385","-120,098"
20000 - 24999,856,176,525,28,127,"1,360","19,249,841","19,050,882","6,057,691","-90,147"
25000 - 29999,937,165,587,21,164,"1,498","25,757,711","25,503,584","10,599,173","82,083"
30000 - 34999,955,173,558,37,187,"1,577","30,968,992","30,617,071","14,593,295","250,787"
35000 - 39999,799,190,452,24,133,"1,337","29,888,800","29,587,286","15,607,684","392,639"
40000 - 44999,659,168,377,20,94,"1,140","27,928,488","27,516,927","15,634,654","437,620"
45000 - 49999,606,201,300,22,83,"1,071","28,757,733","28,432,300","16,558,080","513,823"
50000 - 59999,941,389,410,27,115,"1,775","51,580,965","51,011,565","31,901,658","1,076,448"
60000 - 74999,"1,064",624,332,22,86,"2,256","71,352,594","70,508,888","47,774,715","1,693,199"
75000 - 99999,"1,121",837,225,15,44,"2,640","96,430,920","95,028,212","70,662,434","2,562,885"
100000 - 149999,"1,032",884,113,16,19,"2,616","123,823,075","121,091,117","98,606,961","4,118,875"
150000+,576,480,75,11,10,"1,389","200,905,120","187,055,993","187,549,135","11,206,175"
,,,,,,,,,,
County Total,"13,865","5,080","7,088",304,"1,389","24,046","722,661,382","701,148,336","521,002,975","21,749,628"
Rutland,,,,,,,,,,
Negative,493,156,307,*,21,731,"-27,030,515","-27,030,515","1,008,015","49,487"
0 - 4999,"2,564",283,"2,138",27,116,"2,432","5,798,522","5,777,066","50,667","-117,865"
5000 - 9999,"2,340",236,"1,946",30,128,"2,325","17,537,031","17,384,011","626,667","-230,391"
10000 - 14999,"2,298",282,"1,783",37,196,"2,694","28,626,914","28,363,769","4,126,730","-248,023"
15000 - 19999,"1,998",281,"1,472",54,191,"2,581","34,942,861","34,211,457","9,501,773","-68,964"
20000 - 24999,"2,001",285,"1,392",50,274,"2,812","45,120,440","44,305,769","15,661,209","54,462"
25000 - 29999,"2,202",324,"1,532",47,299,"3,169","60,576,973","59,667,870","26,710,539","425,382"
30000 - 34999,"2,198",332,"1,499",67,300,"3,247","71,436,182","70,324,172","36,513,511","792,356"
35000 - 39999,"2,100",337,"1,372",66,325,"3,156","78,627,666","77,432,450","43,883,922","1,174,299"
40000 - 44999,"1,825",365,"1,130",65,265,"2,824","77,453,897","76,263,600","45,507,459","1,343,869"
45000 - 49999,"1,554",354,974,48,178,"2,465","73,652,729","72,341,322","45,281,689","1,382,529"
50000 - 59999,"2,427",762,"1,326",78,261,"4,124","132,830,894","130,760,221","86,324,050","2,892,091"
60000 - 74999,"2,825","1,301","1,189",67,268,"5,360","189,739,348","187,557,043","133,126,287","4,790,976"
75000 - 99999,"3,197","2,176",808,44,169,"7,053","276,394,682","272,037,900","206,516,440","7,520,432"
100000 - 149999,"3,022","2,521",398,40,63,"7,471","363,351,722","357,090,018","290,606,447","12,234,933"
150000+,"2,039","1,727",253,22,37,"5,188","634,193,642","602,199,986","583,831,980","34,018,486"
,,,,,,,,,,
County Total,"35,083","11,722","19,519",742,"3,091","57,632","2,063,252,988","2,008,686,139","1,529,277,385","66,014,059"
Washington,,,,,,,,,,
Negative,405,126,261,*,13,594,"-22,638,452","-22,638,452","81,097","-10,181"
0 - 4999,"2,017",190,"1,725",22,80,"1,868","4,446,466","4,417,653","12,148","-88,539"
5000 - 9999,"1,765",177,"1,484",26,78,"1,700","13,233,141","13,100,432","498,263","-148,121"
10000 - 14999,"1,628",175,"1,319",23,111,"1,804","20,194,102","19,929,455","3,018,400","-121,681"
15000 - 19999,"1,388",184,"1,042",27,135,"1,775","24,277,462","23,957,051","6,853,676","-51,731"
20000 - 24999,"1,425",221,"1,018",33,153,"1,972","32,105,061","31,507,728","11,370,287","68,870"
25000 - 29999,"1,487",199,"1,036",44,208,"2,090","40,966,642","40,323,231","18,424,532","312,401"
30000 - 34999,"1,504",239,"1,017",57,191,"2,184","48,801,148","47,895,834","24,876,103","576,343"
35000 - 39999,"1,611",243,"1,097",50,221,"2,376","60,397,009","59,629,876","34,460,370","950,241"
40000 - 44999,"1,530",247,"1,050",38,195,"2,277","64,936,751","63,707,949","39,326,536","1,179,497"
45000 - 49999,"1,428",264,921,55,188,"2,172","67,783,625","66,905,723","43,239,953","1,376,017"
50000 - 59999,"2,391",608,"1,396",79,308,"3,885","130,898,785","129,277,237","87,248,299","2,974,633"
60000 - 74999,"2,586","1,038","1,180",104,264,"4,603","173,510,867","170,942,293","124,638,895","4,603,741"
75000 - 99999,"3,077","1,971",842,68,196,"6,700","267,212,005","264,395,328","201,019,485","7,566,732"
100000 - 149999,"3,584","2,964",482,36,102,"9,016","433,939,850","425,984,491","347,593,173","14,757,729"
150000+,"2,555","2,223",263,24,45,"6,721","802,287,448","775,341,818","720,875,073","43,356,864"
,,,,,,,,,,
County Total,"30,381","11,069","16,133",686,"2,488","51,737","2,162,351,910","2,114,677,647","1,663,536,290","77,302,815"
Windham,,,,,,,,,,
Negative,418,131,258,10,19,614,"-35,094,623","-35,094,623","49,790","-15,155"
0 - 4999,"1,610",170,"1,331",17,92,"1,621","3,670,134","3,645,551","2,584","-92,906"
5000 - 9999,"1,560",163,"1,282",21,94,"1,676","11,707,780","11,595,547","311,563","-161,180"
10000 - 14999,"1,374",167,"1,051",22,134,"1,689","17,128,002","16,894,290","2,245,401","-176,872"
15000 - 19999,"1,317",187,975,18,137,"1,744","23,031,963","22,623,723","6,638,950","-37,325"
20000 - 24999,"1,342",211,914,34,183,"1,925","30,158,512","29,363,563","10,179,820","-4,175"
25000 - 29999,"1,333",210,905,36,182,"1,960","36,692,454","36,048,918","15,517,978","184,038"
30000 - 34999,"1,282",215,843,32,192,"1,974","41,605,523","40,693,016","20,790,979","416,240"
35000 - 39999,"1,219",221,782,43,173,"1,896","45,627,196","44,797,741","25,224,055","633,733"
40000 - 44999,"1,011",218,616,34,143,"1,630","42,879,517","42,294,874","24,753,492","685,040"
45000 - 49999,910,248,524,28,110,"1,527","43,195,117","42,287,134","26,591,615","792,736"
50000 - 59999,"1,668",545,879,60,184,"2,844","91,406,314","89,610,629","59,288,162","1,882,108"
60000 - 74999,"1,774",843,747,31,153,"3,455","119,042,112","116,782,947","82,963,103","2,822,096"
75000 - 99999,"2,051","1,366",520,33,132,"4,581","177,689,698","173,001,682","133,306,315","4,595,358"
100000 - 149999,"1,957","1,578",304,22,53,"4,733","235,971,991","228,721,673","189,681,014","7,420,287"
150000+,"1,482","1,187",241,21,33,"3,494","464,131,809","430,376,081","428,936,659","23,051,582"
,,,,,,,,,,
County Total,"22,308","7,660","12,172",462,"2,014","37,363","1,348,843,499","1,293,642,747","1,026,481,480","41,995,605"
Windsor,,,,,,,,,,
Negative,515,157,324,19,15,737,"-38,920,853","-38,920,853","151,788","-9,925"
0 - 4999,"2,049",259,"1,672",33,85,"2,002","4,424,523","4,409,506","283,312","-69,142"
5000 - 9999,"1,866",232,"1,508",31,95,"1,854","14,197,719","14,020,298","583,814","-155,968"
10000 - 14999,"1,700",251,"1,273",33,143,"2,047","21,233,686","20,825,578","2,865,364","-192,120"
15000 - 19999,"1,452",219,"1,061",29,143,"1,897","25,324,697","24,719,102","6,742,726","-56,265"
20000 - 24999,"1,546",261,"1,073",30,182,"2,149","34,818,418","34,140,481","12,170,599","72,078"
25000 - 29999,"1,534",296,959,50,229,"2,315","42,329,299","41,374,604","17,424,454","220,821"
30000 - 34999,"1,735",304,"1,123",48,260,"2,608","56,385,175","55,119,628","28,036,013","618,252"
35000 - 39999,"1,585",296,985,53,251,"2,467","59,456,912","58,198,252","32,600,115","852,185"
40000 - 44999,"1,401",275,878,52,196,"2,180","59,479,577","58,099,582","34,768,115","1,031,261"
45000 - 49999,"1,259",312,755,47,145,"1,996","59,723,055","58,612,066","36,699,509","1,145,349"
50000 - 59999,"2,064",687,"1,102",76,199,"3,493","113,264,597","110,726,027","73,190,431","2,446,369"
60000 - 74999,"2,425","1,096","1,047",73,209,"4,498","162,718,838","158,015,236","115,261,297","4,135,953"
75000 - 99999,"2,857","1,849",783,69,156,"6,175","247,431,413","241,845,995","186,315,021","6,866,838"
100000 - 149999,"3,153","2,518",484,44,107,"7,651","380,833,760","369,645,349","305,801,609","12,867,514"
150000+,"2,772","2,311",359,31,71,"7,020","1,065,113,356","947,010,143","991,680,947","55,647,401"
,,,,,,,,,,
County Total,"29,913","11,323","15,386",718,"2,486","51,089","2,307,814,172","2,157,840,993","1,844,575,114","85,420,601"
,,,,,,,,,,
*indicates data suppressed for confidentiality (fewer than 10 filers),,,,,,,,,,
