2020 Vermont Personal Income Tax Returns by County and Income Bracket,,,,,,,,,,
,,,,,,,,,,
AGI Income Bracket,Returns,Married Joint,Single,Married Separate,Head of Household,Exemptions,Adjusted Gross Income,Vermont AGI,Vermont Taxable Income,Net Vermont Tax
Addison,,,,,,,,,,
Negative,309,108,183,*,10,485,"-21,662,330","-21,662,330","304,258","1,977"
0 - 4999,"1,314",130,"1,142",*,33,"1,127","2,999,868","2,978,915","1,256","-42,402"
5000 - 9999,"1,119",145,917,15,42,"1,067","8,398,165","8,340,229","366,553","-74,406"
10000 - 14999,"1,012",137,785,18,72,"1,147","12,552,959","12,377,855","1,884,345","-82,607"
15000 - 19999,873,125,640,18,90,"1,112","15,299,763","15,146,564","4,176,490","-32,221"
20000 - 24999,911,153,635,14,109,"1,293","20,508,018","20,284,057","7,170,134","22,003"
25000 - 29999,998,169,676,19,134,"1,465","27,507,989","27,129,816","11,855,413","173,894"
30000 - 34999,"1,025",175,706,20,124,"1,479","33,285,054","32,875,866","17,193,514","417,616"
35000 - 39999,968,181,619,32,136,"1,479","36,269,209","35,797,676","20,172,980","544,162"
40000 - 44999,846,158,561,30,97,"1,244","35,887,946","35,409,393","21,381,291","641,097"
45000 - 49999,800,176,489,28,107,"1,284","37,955,372","37,284,747","23,713,460","734,400"
50000 - 59999,"1,378",463,719,56,140,"2,342","75,577,978","74,297,844","48,722,614","1,639,649"
60000 - 74999,"1,539",735,630,49,125,"2,965","103,349,424","101,898,710","72,096,308","2,610,434"
75000 - 99999,"1,902","1,317",450,32,103,"4,284","165,246,590","162,398,634","122,837,436","4,467,932"
100000 - 149999,"2,188","1,851",270,15,52,"5,500","264,003,714","259,836,449","211,203,223","8,919,128"
150000+,"1,623","1,393",200,*,21,"4,163","492,560,865","475,236,488","448,853,269","26,533,391"
,,,,,,,,,,
County Total,"18,805","7,416","9,622",372,"1,395","32,436","1,309,740,584","1,279,630,912","1,011,932,544","46,474,047"
Bennington,,,,,,,,,,
Negative,353,122,208,*,15,523,"-25,457,209","-25,457,209","185,597","-1,849"
0 - 4999,"1,499",174,"1,240",14,71,"1,463","3,290,284","3,267,811","6,297","-68,837"
5000 - 9999,"1,292",168,"1,015",16,93,"1,362","9,646,367","9,535,484","373,433","-130,014"
10000 - 14999,"1,146",164,844,18,120,"1,441","14,320,250","14,106,836","1,927,134","-165,757"
15000 - 19999,"1,058",158,724,21,155,"1,479","18,507,926","18,177,858","4,588,120","-134,093"
20000 - 24999,997,155,645,33,164,"1,506","22,398,680","21,933,795","7,128,975","-76,725"
25000 - 29999,"1,051",171,683,25,172,"1,586","28,971,854","28,520,335","12,164,520","119,762"
30000 - 34999,"1,114",179,665,34,236,"1,829","36,198,690","35,635,064","17,374,951","257,775"
35000 - 39999,"1,044",183,656,30,175,"1,651","39,100,164","38,635,067","21,024,130","480,700"
40000 - 44999,860,214,488,20,138,"1,449","36,538,403","36,002,719","20,426,308","514,311"
45000 - 49999,756,196,427,26,107,"1,263","35,868,962","35,314,521","21,485,465","601,784"
50000 - 59999,"1,180",419,580,51,130,"2,110","64,755,318","63,415,080","41,023,927","1,209,877"
60000 - 74999,"1,406",695,532,43,136,"2,769","94,440,532","92,484,984","65,042,707","2,037,671"
75000 - 99999,"1,612","1,042",443,27,100,"3,518","139,994,140","136,293,958","104,720,668","3,356,128"
100000 - 149999,"1,679","1,356",239,31,53,"4,129","202,861,809","197,735,264","162,745,985","5,926,990"
150000+,"1,498","1,242",209,21,26,"3,789","523,546,155","464,789,108","483,000,146","23,725,445"
,,,,,,,,,,
County Total,"18,545","6,638","9,598",418,"1,891","31,867","1,244,982,325","1,170,390,675","963,218,363","37,653,168"
Caledonia,,,,,,,,,,
Negative,236,89,137,*,*,358,"-7,461,081","-7,461,081","37,882","-8,661"
0 - 4999,"1,185",168,958,12,47,"1,236","2,531,360","2,525,995",0,"-61,539"
5000 - 9999,"1,011",142,811,13,45,"1,037","7,600,371","7,537,284","380,433","-88,550"
10000 - 14999,964,156,698,13,97,"1,241","11,973,397","11,807,479","1,525,982","-149,791"
15000 - 19999,859,173,577,12,97,"1,230","14,998,114","14,768,513","3,782,405","-103,302"
20000 - 24999,839,166,527,16,130,"1,288","18,839,557","18,506,922","6,002,899","-66,284"
25000 - 29999,962,187,580,26,169,"1,525","26,565,902","26,182,973","10,983,310","92,472"
30000 - 34999,913,176,534,19,184,"1,519","29,624,124","29,242,867","13,904,494","237,502"
35000 - 39999,898,204,507,29,158,"1,541","33,652,016","33,377,444","17,604,122","425,106"
40000 - 44999,747,192,400,26,129,"1,300","31,705,388","31,214,982","17,614,453","495,047"
45000 - 49999,611,174,318,19,100,"1,059","29,015,494","28,645,728","17,286,005","536,230"
50000 - 59999,"1,050",377,515,32,126,"1,896","57,378,035","56,882,159","35,823,998","1,199,431"
60000 - 74999,"1,206",655,407,32,112,"2,551","80,697,399","79,837,811","54,641,319","1,958,672"
75000 - 99999,"1,364","1,024",257,16,67,"3,273","118,506,693","116,704,899","87,179,420","3,152,207"
100000 - 149999,"1,258","1,050",151,16,41,"3,247","150,418,523","147,196,672","118,969,936","4,961,061"
150000+,743,624,90,*,20,"1,937","196,860,028","188,478,727","176,075,546","9,832,540"
,,,,,,,,,,
County Total,"14,846","5,557","7,467",295,"1,522","26,238","802,905,320","785,449,374","561,812,204","22,412,141"
Chittenden,,,,,,,,,,
Negative,778,211,521,*,37,"1,128","-55,150,705","-55,150,705","4,039,906","226,692"
0 - 4999,"4,706",300,"4,199",33,174,"3,586","10,948,761","10,842,084","193,939","-168,781"
5000 - 9999,"4,490",254,"4,048",37,151,"3,566","33,679,368","33,176,697","2,047,852","-258,954"
10000 - 14999,"4,082",334,"3,450",60,238,"4,194","50,678,577","49,647,691","8,819,926","-222,954"
15000 - 19999,"3,642",352,"2,977",62,251,"4,273","63,833,658","62,539,268","19,785,261","88,189"
20000 - 24999,"3,608",428,"2,718",79,383,"4,697","81,440,982","79,436,525","31,106,287","336,616"
25000 - 29999,"3,832",419,"2,949",75,389,"5,096","105,569,577","103,267,595","49,868,104","1,020,952"
30000 - 34999,"4,125",480,"3,109",107,429,"5,667","133,969,694","131,409,717","72,201,342","1,806,320"
35000 - 39999,"4,193",496,"3,177",107,413,"5,735","157,233,215","154,606,789","93,252,476","2,676,202"
40000 - 44999,"3,890",497,"2,874",125,394,"5,400","164,960,936","162,962,332","103,522,775","3,176,336"
45000 - 49999,"3,521",545,"2,564",106,306,"4,937","167,139,126","164,182,453","110,326,643","3,479,189"
50000 - 59999,"5,906","1,237","3,932",200,537,"8,797","323,659,646","318,872,134","224,590,911","7,652,578"
60000 - 74999,"6,937","2,257","3,905",216,559,"11,364","465,116,103","456,959,194","343,384,694","12,947,971"
75000 - 99999,"8,167","4,490","2,873",214,590,"16,459","710,800,372","698,545,332","546,871,734","21,043,695"
100000 - 149999,"10,356","7,948","1,849",155,404,"25,405","1,262,327,530","1,241,817,726","1,022,473,811","44,492,989"
150000+,"10,428","8,923","1,165",97,243,"28,589","3,281,546,048","3,189,885,626","3,007,286,395","185,268,926"
,,,,,,,,,,
County Total,"82,661","29,171","46,310","1,673","5,498","138,893","6,957,752,888","6,803,000,457","5,639,772,056","283,565,966"
Essex,,,,,,,,,,
Negative,49,20,28,*,*,73,"-970,657","-970,657",0,"-3,679"
0 - 4999,269,57,198,*,13,314,"583,599","579,859","1,196","-11,282"
5000 - 9999,272,43,200,10,19,306,"2,014,106","2,002,656","95,581","-30,603"
10000 - 14999,198,40,145,*,11,240,"2,466,089","2,442,426","344,352","-17,400"
