Cancer Type,Age,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,9.9,343,3419996
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,13.4,18338,139272738
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,14.3,495,3690076
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,16.4,2064,10455014
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,17.9,3005,14936407
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,18.1,4647,23317026
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,18.1,20934,98059066
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,19.3,6799,30443362
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,20,4439,17904604
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,20.2,7824,33258833
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,20.2,9632,42047780
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,20.5,12067,49769320
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,21.3,15429,64065832
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,21.7,8816,34122856
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22,6544,27643111
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22,11710,44374851
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22,2556,9143857
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22.3,8337,33189945
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22.5,3939,14946436
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22.5,4906,19585569
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22.6,6411,24319838
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,22.9,2021,7109135
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,23,48810,195502219
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,23.6,18796,63943977
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,23.6,7023,24778947
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,23.7,1539,5282731
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,23.7,943,3758923
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,24.1,8267,30005838
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,24.3,8287,28882685
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,24.3,811,2908891
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,24.8,17014,58190588
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,25.4,35600,102876360
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,25.9,10675,36460314
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,26,15220,50769169
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,26.1,6436,20394523
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,26.8,11049,34703193
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,26.8,14574,51469076
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,27.1,4352,14540407
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,27.1,2422,6663761
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,27.2,1312,4317679
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,27.9,2885,9517775
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,28.1,1788,5206350
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,28.1,5050,15651849
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,28.1,7135,22191928
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,28.6,2639,8432802
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,29.3,1760,4744962
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,32.1,2735,6714250
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,33.4,10415,27628334
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,38.1,1544,3122789
Melanomas of the Skin,,Male and Female,All Races and Ethnicities,Incidence,41.1,5474,15215174
