Date,Character,Search,Comment,Likes,Shares,Valence,Category
5-28-21,Ed,"""ed"" and ""90 day fiance""",I’ve been keeping up w/ ed and liz from 90 day fiancé and I just listened to that leaked phone call.................. I feel so bad for liz ): I knew that ed was trashy but I didn’t know he was treating her so awfully like that!! girl get out of there he’s not gonna change,2,0,Negative,Insult
2-26-21,Ed,"""ed"" and ""90 day fiance""",just watched vids of rose and ed from 90 day fiancé and honestly ed might be the the worst person on this planet and rose is always like 😶,0,0,Negative,Insult
7-30-20,Ed,"""ed"" and ""90 day fiance""",Ed and Rose on 90 Day Fiancé are an example...like Ed preyed on Rose sexually and objectified her.,11,0,Negative,Dislike
7-12-21,Ed,"""ed"" and ""90 day fiance""","hunter looks like if you merged taylor lautner and ed from 90 day fiancé together #BacheloretteABC #thebachelorette #TheBacheloretteABC
",653,40,Neutral,Look alike
7-2-20,Ed,"""ed"" and ""90 day fiance""",I got really addicted to 90 Day Fiancé so I drew fanart. I hope they show rose and ed :),909,57,Neutral,Art
6-8-21,Ed,"""ed"" and ""90 day fiance""","If you took Artemis from Always Sunny and mixed her with No Neck Ed from 90 Day Fiancé, you’d get this creature. Dress her in some spandex & 1 slipper while U Got It bad plays with the lights fully on…this is like a fever dream hallucination",713,51,Neutral,Look alike
9-5-20,Ed,"""ed"" and ""90 day fiance""","2nd day of my brother in chicago and he meet neckless ed from 90 day fiance, this could only be a good sign",24,1,Neutral,Met Ed
2-27-22,Ed,"""ed"" and ""90 day fiance""",Y’all why this dude look like a combo of Thanos and big Ed from 90 day fiancé!?!,6,0,Neutral,Look alike
11-28-20,Ed,"""ed"" and ""90 day fiance""",my bf told me that the volcanoes from my favorite Pixar short look like big ed and rosemarie from 90 day fiancé and I just....can’t unsee it.,19,1,Neutral,Look alike
11-16-20,Ed,"""ed"" and ""90 day fiance""","y’all, 
@NTomacruz
 just saw Ed from 90 Day Fiancé and he looks so lonely. I hope he is the type to wear a mask",8,1,Neutral,Met Ed
11-29-20,Ed,"""ed"" and ""90 day fiance""",Marc Benioff and Ed from 90 day fiancé is the same person?,2,0,Neutral,Look alike
12-12-21,Ed,"""ed"" and ""90 day fiance""",This dude was a 3rd round pick and an NHL goaltender for Minnesota and now he looks like a cross of Meatloaf and Ed from 90 day Fiance. Smh,3,1,Neutral,Look alike
1-29-21,Ed,"""ed"" and ""90 day fiance""","I recently met this dude, No Neck Ed from TLC's show My 90 Day Fiancé. I didn't know who the dude was and let’s see if people at the Las Vegas mall know who No Neck Ed is as well. 

What do you guys think? 
@thisisbiged
 
@TLC
 #makemedia",83,13,Neutral,Met Ed
6-14-20,Ed,"""ed"" and ""90 day fiance""","Manten from Inuyasha looks and acts like Ed from 90 day fiancé, and I can’t unsee it.",1,0,Neutral,Look alike
6-17-21,Ed,"""ed"" and ""90 day fiance""",Someone said that my dad looked like Ed from 90 day fiancé and I’m still not over it,24,0,Neutral,Look alike
2-28-21,Ed,"""ed"" and ""90 day fiance""",guys .... i’m in san diego rn and big ed from 90 day fiancé jus biked past me 0.0,34,0,Neutral,Met Ed
5-7-21,Ed,"""ed"" and ""90 day fiance""",Someone said Addison Rae and Big Ed from 90 day fiancé kinda look the same and i can’t unsee it now 😭💀,5,0,Neutral,Look alike
7-16-20,Ed,"""ed"" and ""90 day fiance""",just so u all know i saw ed from 90 day fiancé today and he was Not social distancing ... imagine getting coronavirus from big ed,7,0,Neutral,Met Ed
