Date,Character,Search,Comment,Likes,Shares,Valence,Category
3-2-22,Ed,"""ed"" and ""90 day fiance""","Watching 90 day fiancé and holy fuck dude this show makes me so angry hahaha.

Big Ed should honestly be sterilized. What a disgusting human like I cannot believe he has a daughter and has tarnished the human gene pool. 

What a loser lmao",0,0,Negative,Insult
2-24-22,Ed,"""ed"" and ""90 day fiance""",Men will literally look like Ed from 90 day fiancé and have a god complex,1,0,Negative,Insult
3-1-22,Ed,"""ed"" and ""90 day fiance""",one year ago today big ed from 90 day fiancé didnt realize i was interacting with him in bad faith and asked me out on a date which i was about to entertain before i realized i was definitely going to end up on a missing persons list for the sake of shits and giggles,40,3,Negative,Met Ed
1-31-21,Ed,"""ed"" and ""90 day fiance""","Okay before I go to bed, I want to share that over the summer big Ed from 90 day fiancé brought me on Instagram live and I told him I was a stan. He thought I said “STAND” and he went “yeah, I like that, I stand up to bullying” and the posted this the next day",127,5,Neutral,Funny
9-16-21,Ed,"""ed"" and ""90 day fiance""","thinking about Rose from 90 day fiancé again and how everyone labeled her as a gold digger even though Ed was the one who called the show, exploited her, leveraged his middle class life in america, created the gold digger narrative, and became a whole influencer after that. sad.",176,22,Negative,Dislike
6-7-20,Ed,"""ed"" and ""90 day fiance""",Watching 90 Day Fiancé Tell All and I’m so upset that Rose is being bullied by Ed and his daughter. All the sudden his daughter was to come on tv and demonize Rose. Ed is creating his own way of how the relationship . Using English against Rose.Please 🙄 #TLC #90DayFianceTellAll,258,20,Negative,Dislike
9-7-20,Ed,"""ed"" and ""90 day fiance""","YOOO looked up from the cash register at work and I saw Ed from 90 day Fiancé next in line, he ordered a cheese dog introduced me to his family and gave me these stickers ahahaha",23,1,Neutral,Met Ed
3-2-21,Ed,"""ed"" and ""90 day fiance""",big ed from 90 day fiancé showed up at my job and FLIRTED WITH MY GF........,17,5,Neutral,Met Ed
10-19-20,Ed,"""ed"" and ""90 day fiance""",I’m having the worst day ever right so I drive an hour away to my favorite coffee place. I’m at a stoplight a street away when I turn and see no neck Big Ed from 90 day fiancé through the window of a boxing place😭 For a sec I forgot how shitty life was and died laughing cuz wtf,72,6,Neutral,Met Ed
2-24-22,Ed,"""ed"" and ""90 day fiance""",watching 90 day fiance and they asked if big ed was a good kisser and her reaction was literally wheeze,8,1,Neutral,Funny
6-2-20,Ed,"""ed"" and ""90 day fiance""","just watched a compilation of no neck ed and rose from 90 day fiancé with my grandma , and let me tell you . my grandma HATED how ed acted and she got second hand embarrassed from rose",10,0,Negative,Dislike
6-8-20,Ed,"""ed"" and ""90 day fiance""",LETS BE REAL BIG ED USED ROSE AND 90 DAY FIANCÉ TO GET FAMOUS  AND ED WAS SO RUDE TO HER AND DISRESPECTFUL WHEN HE CAME TO HER HOUSE AND WAS BEING SUCH A PRIVILEGED PERSON,1,0,Negative,Dislike
6-26-20,Ed,"""ed"" and ""90 day fiance""",90 day fiancé really let ed out rosemarie in front of fucking millions. fuck big ed and 90 day fiancé bye,0,0,Negative,Insult
