Date,Character,Search,Comment,Likes,Shares,Valence,Category
1-21-22,Liz,"""liz"" and ""90 day fiance""",Ed and Liz are back together??Elizabeth?!???! Girl I—90 day fiancé be soooooo messy chile,1,1,Negative,Dislike
9-7-21,Liz,"""liz"" and ""90 day fiance""","bruh, big ed and liz from 90 day fiance are engaged?! i literally am DYING right now.",9,1,Negative,Dislike
4-21-22,Liz,"""liz"" and ""90 day fiance""",OMG the episode of Pillow Talk: 90 Day Fiance The single Life where Liz and Big Ed kiss for the first time is one of the funniest things I've ever seen. I'm fucking dying 😂🤣💀💀 #90DaySingleLife,23,1,Negative,Insult
11-12-21,Liz,"""liz"" and ""90 day fiance""",also 90 day fiance the single life season two premieres tonight and big ed and liz are engaged this is going to be LIT,3,0,Neutral,Reaction
12-16-21,Liz,"""liz"" and ""90 day fiance""",I’m sorry but Big Ed from 90 Day Fiancé is the biggest fkn gaslighter and deserves to be alone for the way he treats/treated Liz,4,0,Negative,Dislike
8-16-21,Liz,"""liz"" and ""90 day fiance""","I’m watching 90 day fiancé: the single life and the scene where Ed asks Liz out on a date is so cringe and awkward that it physically hurts to watch, like it makes me sick to my stomach 🤮",17,0,Negative,Dislike
6-17-21,Liz,"""liz"" and ""90 day fiance""",He’s was on 90 day fiancé and he was so rude to rose and Liz. This man should be let go from TLC.,1,0,Negative,Dislike
10-25-21,Liz,"""liz"" and ""90 day fiance""",Watching Ed on 90 Day Fiancé: Single Life is like watching a train on a collision course. Slow the heck down and actually listen to Liz @TLC,35,0,Neutral,Reaction
5-16-21,Liz,"""liz"" and ""90 day fiance""","90 day fiance single life: Let me get this straight, Ed dumped Liz and she’s crying about it? Girl get some counseling you have issues!! Clearly Ed is an asshole we saw the way he treated Rose🤷🏽‍♀️14",4,0,Negative,Dislike
3-21-21,Liz,"""liz"" and ""90 day fiance""",90 day fiancé made sure we kept seeing Ed and Liz even though there was no chemistry and Liz never loved Ed 😭,3,0,Neutral,Dislike
4-26-21,Liz,"""liz"" and ""90 day fiance""",Is big Ed and Liz together?...i just watched the 90 day fiance latest episode 😳😶,0,0,Neutral,Personal
5-28-21,Liz,"""liz"" and ""90 day fiance""",I’ve been keeping up w/ ed and liz from 90 day fiancé and I just listened to that leaked phone call.................. I feel so bad for liz ): I knew that ed was trashy but I didn’t know he was treating her so awfully like that!! girl get out of there he’s not gonna change,2,0,Negative,Dislike
4-22-21,Liz,"""liz"" and ""90 day fiance""",Got caught up with 90 Day Fiancé Single Life and I must know more about Liz and what led to this whole Big Ed thing.,6,0,Neutral,Personal
4-21-21,Liz,"""liz"" and ""90 day fiance""",Wow i misded a lot with 90 day fiance sideshows ewww ed and liz bumped uglies 🤮🤮🤮,0,0,Negative,Dislike
6-28-21,Liz,"""liz"" and ""90 day fiance""",Don’t know what Gaslighting means? Watch 90 Day Fiancé Single Life and witness Big Ed’s every interaction with Liz! I’m literally fuming.,2,0,Negative,Dislike
4-12-21,Liz,"""liz"" and ""90 day fiance""",Seeing big ed and liz make out on the new 90 day fiance episode made me want to call the police,0,0,Negative,Dislike
5-27-21,Liz,"""liz"" and ""90 day fiance""",Liz leaked an exclusive phone call with Ed and it's INSANE!!!! He needs to be KICKED OFF #TLC and 90 Day Fiance!!!!,3,0,Negative,Dislike
5-24-21,Liz,"""liz"" and ""90 day fiance""",Go on YouTube & watch Big Ed and Liz . 90 Day fiancé Single Life edition lol they did a spin off for the American singles,4,0,Negative,Dislike
5-28-21,Liz,"""liz"" and ""90 day fiance""",I put 90 Day Fiance Ed in the search bar here on Twitter and it took me to the links for the audio. Ed is awful. Liz needs to break it off with him once and for all. I can see why he has been single all these years.,12,0,Neutral,Insult
5-3-21,Liz,"""liz"" and ""90 day fiance""",I’m watching 90 day fiancé the single life. And man…. I want Liz.  Imma have to steal her from big Ed lol,1,0,Negative,Funny
