Date,Character,Search,Comment,Likes,Shares,Valence,Category
5-19-20,Rose,"""rose"" and ""90 day fiance""",*exhales* it just hit me. Big Ed wearing a pink shirt on 90 day Fiancé packing his stuff in a hotel room and crying cause Rose knows her worth reaction video meme,721,107,Neutral,Funny
5-6-20,Rose,"""rose"" and ""90 day fiance""",Every woman needs to move like Rose from 90 Day Fiancé. That girl knows her worth and boldly speaks up once she knows she has been wronged or disrespected. Her faces says it all.,115,21,Positive,Praise
9-16-21,Rose,"""rose"" and ""90 day fiance""","thinking about Rose from 90 day fiancé again and how everyone labeled her as a gold digger even though Ed was the one who called the show, exploited her, leveraged his middle class life in america, created the gold digger narrative, and became a whole influencer after that. sad.",176,22,Negative,Dislike
6-7-20,Rose,"""rose"" and ""90 day fiance""",Watching 90 Day Fiancé Tell All and I’m so upset that Rose is being bullied by Ed and his daughter. All the sudden his daughter was to come on tv and demonize Rose. Ed is creating his own way of how the relationship . Using English against Rose.Please 🙄 #TLC #90DayFianceTellAll,258,20,Negative,Dislike
1-1-22,Rose,"""rose"" and ""90 day fiance""",Oh for the 90 Day Fiancé stans Rose is in a relationship and says she’s in love. Love that for her!,152,0,Positive,Satisfaction
5-24-21,Rose,"""rose"" and ""90 day fiance""","thinking abt how Ed treated Rose in 90 day fiance, how he talked abt her home, no clean water, no ceiling, and how ppl from the western world have no idea how poverty is in the global south.. Rose just uploaded her new room on her youtube channel n I'm just so happy for her",223,12,Positive,Satisfaction
5-5-20,Rose,"""rose"" and ""90 day fiance""",get a boyfriend who lives 6 hours away so you can pretend to be rose and ed from 90 day fiancé <3,7,1,Neutral,Funny
5-12-20,Rose,"""rose"" and ""90 day fiance""",thinkin bout that anime opening edit of ed and rose from 90 day fiance and,10,2,Neutral,Funny
5-31-20,Rose,"""rose"" and ""90 day fiance""",Someone told me that the volcanoes from the Llava short reminded them of Big Ed and Rose from 90 day fiancé... and now I’m crying.,401,56,Neutral,Funny
6-2-20,Rose,"""rose"" and ""90 day fiance""","just watched a compilation of no neck ed and rose from 90 day fiancé with my grandma , and let me tell you . my grandma HATED how ed acted and she got second hand embarrassed from rose",10,0,Negative,Dislike
6-25-20,Rose,"""rose"" and ""90 day fiance""",Ok I have found Big Ed and Rose from 90 Day Fiancé the absolute PERFECT halloween costume!!!,11,0,Neutral,Funny
5-4-20,Rose,"""rose"" and ""90 day fiance""","can’t stop watching big ed and rose from 90 day fiancé n all I can say is rose, ur a queen",5,0,Positive,Praise
5-16-20,Rose,"""rose"" and ""90 day fiance""",Me watching all of the Ed and Rose episodes of 90 day fiancé. Cringe city,8,0,Neutral,Funny
5-4-20,Rose,"""rose"" and ""90 day fiance""",alright it’s time to stop watching clips of ed and rose from 90 day fiancé and do some work 😔🤙🏻,1,0,Neutral,Personal
5-11-20,Rose,"""rose"" and ""90 day fiance""","i finally watched all the clips of Ed and Rose from 90 Day Fiance, and there is so much TLC is not translating lmfaooooo",17,1,Neutral,Funny
6-19-20,Rose,"""rose"" and ""90 day fiance""",LMAOOOO just realizing the dialogue “I like the view” is from Rose and no neck on 90 day fiancé ☺️,13,1,Neutral,Funny
5-1-20,Rose,"""rose"" and ""90 day fiance""",Everytime i think about Ed and Rose from 90 Day fiancé i get so upset please if im ever desperate enough to get with a decaying racist wh*te man—,19,0,Negative,Dislike
5-24-20,Rose,"""rose"" and ""90 day fiance""","After seeing so many people talk about 90 Day Fiancé, I decided to check it out for myself. LET ME TELL YOU THAT SHOW IS ADDICTING! I made a reaction to Big Ed and Rose. So if you like 90 Day Fiancé or reaction video, please check it out! Please share it!",2,0,Neutral,Reaction
6-5-20,Rose,"""rose"" and ""90 day fiance""",y’all can keep watching rose and ed on 90 day fiancé but the REAL show is Usman & Baby Love Lisa 😭😭😭,15,1,Neutral,Reaction
5-15-20,Rose,"""rose"" and ""90 day fiance""",All these clips of ‘No Neck Ed’ and Rose on 90 Day Fiancé are so addicting lol,10,0,Neutral,Reaction
5-17-20,Rose,"""rose"" and ""90 day fiance""",the fact that rose and neck broke up on 90 day fiance because NECK didn’t want kids but rose did is deeply upsetting,2,0,Negative,Dislike
5-5-20,Rose,"""rose"" and ""90 day fiance""","it is quarter to 5 and i just finished watching all of Ed and Rose's 90 Day Fiance story,,,, and i just want to say: No Neck Ed is THEE simp i hate him so much",13,0,Negative,Dislike
5-8-20,Rose,"""rose"" and ""90 day fiance""",MY MOM IS FINALLY WATCHING ROSE AND ED ON 90 DAY FIANCÉ LMAOOOOOO,5,0,Neutral,Funny
5-20-20,Rose,"""rose"" and ""90 day fiance""","If anyone on the internet is interested, Psychology in Seattle has a series on youtube where a therapist talks about Ed&Rose from 90 Day Fiancé and he actually validates Rose as a person with feelings and not just a filipino accent",5,0,Neutral,Informative
5-7-20,Rose,"""rose"" and ""90 day fiance""",I feel like Ed and rose from 90 day fiancé really stole the audience that was laughing at the 1000 pound sisters just a month ago,6,0,Neutral,Reaction
4-23-20,Rose,"""rose"" and ""90 day fiance""","i’ve only seen clips of ed and rose on 90 day fiancé, and i’ve never felt so bad for someone",2,0,Negative,Reaction
5-18-20,Rose,"""rose"" and ""90 day fiance""","For the past couple of days I’ve been watching videos of Rose and Big Ed from 90 day fiancé... Can I just say, for Rose being 23...that girls maturity is UP THERE. I’m so happy she left that little twat of a chicken nugget.",19,0,Positive,Praise
5-5-20,Rose,"""rose"" and ""90 day fiance""",yall ed and rose on 90 day fiance is so funny! this man is just rude,5,0,Neutral,Funny
9-9-20,Rose,"""rose"" and ""90 day fiance""","i was listening to the song lava which is two volcanoes meeting and falling in love with each other in yt again, and somebody said they looked like ed and rose from 90 day fiancé and ???? i cant unsee it now",2,0,Neutral,Funny
5-21-20,Rose,"""rose"" and ""90 day fiance""",Someone said I remind them of rose (90 day fiancé) and I literally laughed so hard 😂 #hashtag- let’s not all get so offended easily 2020,31,0,Neutral,Funny
5-7-20,Rose,"""rose"" and ""90 day fiance""",I have literally spent this entire day binging YouTube snippets of No Neck Ed and Rose on 90 day fiancé,1,0,Neutral,Personal
6-15-20,Rose,"""rose"" and ""90 day fiance""",still wondering how ed and rose are the couple that went viral from 90 day fiance and not the guy who spent like hundreds of thousands of dollars to talk to a woman from the ukraine in a sketchy chatroom or the old white lady who called her nigerian husband the n word,32,1,Neutral,Reaction
6-8-20,Rose,"""rose"" and ""90 day fiance""",LETS BE REAL BIG ED USED ROSE AND 90 DAY FIANCÉ TO GET FAMOUS  AND ED WAS SO RUDE TO HER AND DISRESPECTFUL WHEN HE CAME TO HER HOUSE AND WAS BEING SUCH A PRIVILEGED PERSON,1,0,Negative,Dislike
6-3-20,Rose,"""rose"" and ""90 day fiance""",Just spent $30 to watch the season of big Ed and rose on 90 day fiancé and I better not be disappointed,5,0,Neutral,Reaction
4-18-20,Rose,"""rose"" and ""90 day fiance""","If you need a little cheering up just read the comments on ""Big ed"" and Rose' 90 day fiancé videos lmao.",2,0,Neutral,Funny
