country,year,warheads,megatons,source
USSR/Russia,2003,20200,6910.0,Johnston
United States,2003,10400,1590.0,Johnston
USSR/Russia,2004,19000,6500.0,Johnston
United States,2004,10400,1590.0,Johnston
USSR/Russia,2005,18000,6160.0,Johnston
United States,2005,10300,1580.0,Johnston
USSR/Russia,2006,17000,5820.0,Johnston
United States,2006,10100,1550.0,Johnston
USSR/Russia,2007,16000,5480.0,Johnston
United States,2007,9900,1520.0,Johnston
USSR/Russia,2008,14000,4750.0,FAS+estimate
United States,2008,9200,1410.0,Johnston
USSR/Russia,2009,13000,4400.0,FAS+estimate
United States,2009,8500,1300.0,Johnston
USSR/Russia,2010,12000,4060.0,FAS+estimate
United States,2010,7700,1180.0,Johnston
USSR/Russia,2011,11000,3720.0,FAS+estimate
United States,2011,6900,1060.0,Johnston
USSR/Russia,2012,10000,3380.0,FAS+estimate
United States,2012,6000,920.0,Johnston
USSR/Russia,2013,8500,2870.0,FAS+estimate
United States,2013,5300,810.0,FAS+estimate
USSR/Russia,2014,8000,2700.0,FAS+estimate
United States,2014,4800,720.0,FAS+estimate
USSR/Russia,2015,7500,2530.0,FAS+estimate
United States,2015,4570,685.0,FAS+estimate
USSR/Russia,2016,7300,2460.0,FAS+estimate
United States,2016,4380,657.0,FAS+estimate
USSR/Russia,2017,7000,2360.0,FAS+estimate
United States,2017,4140,620.0,FAS+estimate
USSR/Russia,2018,6850,2300.0,FAS+estimate
United States,2018,3940,590.0,FAS+estimate
USSR/Russia,2019,6500,2180.0,FAS+estimate
United States,2019,3800,570.0,FAS+estimate
USSR/Russia,2020,6375,2140.0,FAS+estimate
United States,2020,3750,560.0,FAS+estimate
USSR/Russia,2021,6255,2095.0,FAS+estimate
United States,2021,3700,555.0,FAS+estimate
USSR/Russia,2022,5977,2000.0,FAS+estimate
United States,2022,3710,555.0,FAS+estimate
USSR/Russia,2023,5889,1970.0,FAS+estimate
United States,2023,3700,550.0,FAS+estimate
USSR/Russia,2024,5580,1860.0,FAS+estimate
United States,2024,3700,550.0,FAS+estimate
