Country,2015,2016,2017,2017 - 2015
Afghanistan,3.575,3.36,3.79399991,0.21899991
Albania,4.959,4.655,4.644000053,-0.314999947
Algeria,5.605,6.355,5.872000217,0.267000217
Angola,4.033,3.866,3.795000076,-0.237999924
Argentina,6.574,6.65,6.598999977,0.024999977
Armenia,4.35,4.36,4.375999928,0.025999928
Australia,7.284,7.313,7.28399992,-8E-08
Austria,7.2,7.119,7.006000042,-0.193999958
Azerbaijan,5.212,5.291,5.234000206,0.022000206
Bahrain,5.96,6.218,6.086999893,0.126999893
Bangladesh,4.694,4.643,4.607999802,-0.086000198
Belarus,5.813,5.802,5.568999767,-0.244000233
Belgium,6.937,6.929,6.890999794,-0.046000206
Benin,3.34,3.484,3.657000065,0.317000065
Bhutan,5.253,5.196,5.011000156,-0.241999844
Bolivia,5.89,5.822,5.822999954,-0.067000046
Bosnia and Herzegovina,4.949,5.163,5.18200016,0.23300016
Botswana,4.332,3.974,3.766000032,-0.565999968
Brazil,6.983,6.952,6.635000229,-0.347999771
Bulgaria,4.218,4.217,4.714000225,0.496000225
Burkina Faso,3.587,3.739,4.032000065,0.445000065
Burundi,2.905,2.905,2.904999971,-2.9E-08
Cambodia,3.819,3.907,4.168000221,0.349000221
Cameroon,4.252,4.513,4.695000172,0.443000172
Canada,7.427,7.404,7.315999985,-0.111000015
Chad,3.667,3.763,3.936000109,0.269000109
Chile,6.67,6.705,6.65199995,-0.01800005
China,5.14,5.245,5.272999763,0.132999763
Colombia,6.477,6.481,6.356999874,-0.120000126
Congo (Brazzaville),3.989,4.236,4.290999889,0.301999889
Congo (Kinshasa),4.517,4.272,4.28000021,-0.23699979
Costa Rica,7.226,7.087,7.078999996,-0.147000004
Croatia,5.759,5.488,5.293000221,-0.465999779
Cyprus,5.689,5.546,5.620999813,-0.068000187
Czech Republic,6.505,6.596,6.609000206,0.104000206
Denmark,7.527,7.526,7.521999836,-0.005000164
Dominican Republic,4.885,5.155,5.230000019,0.345000019
Ecuador,5.975,5.976,6.007999897,0.032999897
Egypt,4.194,4.362,4.735000134,0.541000134
El Salvador,6.13,6.068,6.002999783,-0.127000217
Estonia,5.429,5.517,5.611000061,0.182000061
Ethiopia,4.512,4.508,4.460000038,-0.051999962
Finland,7.406,7.413,7.468999863,0.062999863
France,6.575,6.478,6.441999912,-0.133000088
Gabon,3.896,4.121,4.465000153,0.569000153
Georgia,4.297,4.252,4.285999775,-0.011000225
Germany,6.75,6.994,6.951000214,0.201000214
Ghana,4.633,4.276,4.119999886,-0.513000114
Greece,4.857,5.033,5.227000237,0.370000237
Guatemala,6.123,6.324,6.453999996,0.330999996
Guinea,3.656,3.607,3.506999969,-0.149000031
Haiti,4.518,4.028,3.602999926,-0.915000074
Honduras,4.788,4.871,5.181000233,0.393000233
Hong Kong,5.474,5.458,5.472000122,-0.001999878
Hungary,4.8,5.145,5.323999882,0.523999882
Iceland,7.561,7.501,7.504000187,-0.056999813
India,4.565,4.404,4.315000057,-0.249999943
Indonesia,5.399,5.314,5.262000084,-0.136999916
Iran,4.686,4.813,4.691999912,0.005999912
Iraq,4.677,4.575,4.497000217,-0.179999783
Ireland,6.94,6.907,6.977000237,0.037000237
Israel,7.278,7.267,7.212999821,-0.065000179
Italy,5.948,5.977,5.964000225,0.016000225
Ivory Coast,3.655,3.916,4.179999828,0.524999828
Jamaica,5.709,5.51,5.31099987,-0.39800013
Japan,5.987,5.921,5.920000076,-0.066999924
Jordan,5.192,5.303,5.335999966,0.143999966
Kazakhstan,5.855,5.919,5.818999767,-0.036000233
Kenya,4.419,4.356,4.552999973,0.133999973
Kosovo,5.589,5.401,5.278999805,-0.310000195
Kuwait,6.295,6.239,6.105000019,-0.189999981
Kyrgyzstan,5.286,5.185,5.004000187,-0.281999813
Latvia,5.098,4.876,5.849999905,0.751999905
Lebanon,4.839,5.56,5.224999905,0.385999905
Lesotho,4.898,5.129,3.808000088,-1.089999912
Liberia,4.571,3.622,3.532999992,-1.038000008
Libya,5.754,5.615,5.525000095,-0.228999905
Lithuania,5.833,5.813,5.90199995,0.06899995
Luxembourg,6.946,6.871,6.862999916,-0.083000084
Macedonia,5.007,5.121,5.175000191,0.168000191
Madagascar,3.681,3.695,3.644000053,-0.036999947
Malawi,4.292,4.156,3.970000029,-0.321999971
Malaysia,5.77,6.005,6.084000111,0.314000111
Mali,3.995,4.073,4.190000057,0.195000057
Malta,6.302,6.488,6.52699995,0.22499995
Mauritania,4.436,4.201,4.291999817,-0.144000183
Mauritius,5.477,5.648,5.629000187,0.152000187
Mexico,7.187,6.778,6.578000069,-0.608999931
Moldova,5.889,5.897,5.837999821,-0.051000179
Mongolia,4.874,4.907,4.954999924,0.080999924
Montenegro,5.192,5.161,5.236999989,0.044999989
Morocco,5.013,5.151,5.235000134,0.222000134
Myanmar,4.307,4.395,4.545000076,0.238000076
Nepal,4.514,4.793,4.961999893,0.447999893
Netherlands,7.378,7.339,7.376999855,-0.001000145
New Zealand,7.286,7.334,7.31400013,0.02800013
Nicaragua,5.828,5.992,6.071000099,0.243000099
Niger,3.845,3.856,4.027999878,0.182999878
Nigeria,5.268,4.875,5.073999882,-0.194000118
North Cyprus,5.695,5.771,5.809999943,0.114999943
Norway,7.522,7.498,7.537000179,0.015000179
Pakistan,5.194,5.132,5.269000053,0.075000053
Palestinian Territories,4.715,4.754,4.775000095,0.060000095
Panama,6.786,6.701,6.452000141,-0.333999859
Paraguay,5.878,5.538,5.493000031,-0.384999969
Peru,5.824,5.743,5.715000153,-0.108999847
Philippines,5.073,5.279,5.429999828,0.356999828
Poland,5.791,5.835,5.97300005,0.18200005
Portugal,5.102,5.123,5.195000172,0.093000172
Qatar,6.611,6.375,6.375,-0.236
Romania,5.124,5.528,5.824999809,0.700999809
Russia,5.716,5.856,5.962999821,0.246999821
Rwanda,3.465,3.515,3.470999956,0.005999956
Saudi Arabia,6.411,6.379,6.343999863,-0.067000137
Senegal,3.904,4.219,4.534999847,0.630999847
Serbia,5.123,5.177,5.394999981,0.271999981
Sierra Leone,4.507,4.635,4.709000111,0.202000111
Singapore,6.798,6.739,6.572000027,-0.225999973
Slovakia,5.995,6.078,6.09800005,0.10300005
Slovenia,5.848,5.768,5.757999897,-0.090000103
South Africa,4.642,4.459,4.828999996,0.186999996
South Korea,5.984,5.835,5.837999821,-0.146000179
Spain,6.329,6.361,6.402999878,0.073999878
Sri Lanka,4.271,4.415,4.440000057,0.169000057
Sudan,4.55,4.139,4.138999939,-0.411000061
Sweden,7.364,7.291,7.28399992,-0.08000008
Switzerland,7.587,7.509,7.493999958,-0.093000042
Syria,3.006,3.069,3.461999893,0.455999893
Taiwan,6.298,6.379,6.421999931,0.123999931
Tajikistan,4.786,4.996,5.040999889,0.254999889
Tanzania,3.781,3.666,3.348999977,-0.432000023
Thailand,6.455,6.474,6.423999786,-0.031000214
Togo,2.839,3.303,3.494999886,0.655999886
Trinidad and Tobago,6.168,6.168,6.168000221,2.21E-07
Tunisia,4.739,5.045,4.804999828,0.065999828
Turkey,5.332,5.389,5.5,0.168
Turkmenistan,5.548,5.658,5.822000027,0.274000027
Uganda,3.931,3.739,4.080999851,0.149999851
Ukraine,4.681,4.324,4.096000195,-0.584999805
United Arab Emirates,6.901,6.573,6.647999763,-0.253000237
United Kingdom,6.867,6.725,6.714000225,-0.152999775
United States,7.119,7.104,6.993000031,-0.125999969
Uruguay,6.485,6.545,6.453999996,-0.031000004
Uzbekistan,6.003,5.987,5.971000195,-0.031999805
Venezuela,6.81,6.084,5.25,-1.56
Vietnam,5.36,5.061,5.073999882,-0.286000118
Yemen,4.077,3.724,3.592999935,-0.484000065
Zambia,5.129,4.795,4.513999939,-0.615000061
Zimbabwe,4.61,4.193,3.875,-0.735
