Date,Team 1,Team 2,FT,HT
2013-08-24,Sampdoria,Juventus,0-1,0-0
2013-08-24,Verona,Milan,2-1,1-1
2013-08-25,Cagliari,Atalanta,2-1,1-1
2013-08-25,Inter,Genoa,2-0,0-0
2013-08-25,Lazio,Udinese,2-1,2-0
2013-08-25,Livorno,Roma,0-2,0-0
2013-08-25,Napoli,Bologna,3-0,2-0
2013-08-25,Parma,Chievo,0-0,0-0
2013-08-25,Torino,Sassuolo,2-0,1-0
2013-08-26,Fiorentina,Catania,2-1,2-1
2013-08-31,Chievo,Napoli,2-4,2-2
2013-08-31,Juventus,Lazio,4-1,2-1
2013-09-01,Atalanta,Torino,2-0,0-0
2013-09-01,Bologna,Sampdoria,2-2,1-1
2013-09-01,Catania,Inter,0-3,0-1
2013-09-01,Genoa,Fiorentina,2-5,0-3
2013-09-01,Milan,Cagliari,3-1,2-1
2013-09-01,Roma,Verona,3-0,0-0
2013-09-01,Sassuolo,Livorno,1-4,0-1
2013-09-01,Udinese,Parma,3-1,1-0
2013-09-14,Inter,Juventus,1-1,0-0
2013-09-14,Napoli,Atalanta,2-0,0-0
2013-09-14,Torino,Milan,2-2,0-0
2013-09-15,Fiorentina,Cagliari,1-1,0-0
2013-09-15,Lazio,Chievo,3-0,3-0
2013-09-15,Livorno,Catania,2-0,0-0
2013-09-15,Sampdoria,Genoa,0-3,0-1
2013-09-15,Udinese,Bologna,1-1,0-0
2013-09-15,Verona,Sassuolo,2-0,1-0
2013-09-16,Parma,Roma,1-3,1-0
2013-09-21,Cagliari,Sampdoria,2-2,1-0
2013-09-21,Chievo,Udinese,2-1,2-1
2013-09-21,Genoa,Livorno,0-0,0-0
2013-09-22,Atalanta,Fiorentina,0-2,0-1
2013-09-22,Bologna,Torino,1-2,1-2
2013-09-22,Catania,Parma,0-0,0-0
2013-09-22,Juventus,Verona,2-1,2-1
2013-09-22,Milan,Napoli,1-2,0-1
2013-09-22,Roma,Lazio,2-0,0-0
2013-09-22,Sassuolo,Inter,0-7,0-3
2013-09-24,Udinese,Genoa,1-0,0-0
2013-09-25,Bologna,Milan,3-3,1-1
2013-09-25,Chievo,Juventus,1-2,1-0
2013-09-25,Lazio,Catania,3-1,2-1
2013-09-25,Livorno,Cagliari,1-1,1-0
2013-09-25,Napoli,Sassuolo,1-1,1-1
2013-09-25,Parma,Atalanta,4-3,4-2
2013-09-25,Sampdoria,Roma,0-2,0-0
2013-09-25,Torino,Verona,2-2,1-1
2013-09-26,Inter,Fiorentina,2-1,0-0
2013-09-28,Genoa,Napoli,0-2,0-2
2013-09-28,Milan,Sampdoria,1-0,0-0
2013-09-29,Atalanta,Udinese,2-0,1-0
2013-09-29,Cagliari,Inter,1-1,0-0
2013-09-29,Catania,Chievo,2-0,1-0
2013-09-29,Roma,Bologna,5-0,3-0
2013-09-29,Sassuolo,Lazio,2-2,0-0
2013-09-29,Torino,Juventus,0-1,0-0
2013-09-29,Verona,Livorno,2-1,1-1
2013-09-30,Fiorentina,Parma,2-2,0-1
2013-10-06,Bologna,Verona,1-4,0-2
2013-10-06,Catania,Genoa,1-1,0-0
2013-10-06,Napoli,Livorno,4-0,2-0
2013-10-06,Parma,Sassuolo,3-1,1-1
2013-10-06,Sampdoria,Torino,2-2,1-0
2013-10-06,Udinese,Cagliari,2-0,1-0
2013-10-06,Juventus,Milan,3-2,1-1
2013-10-06,Lazio,Fiorentina,0-0,0-0
2013-10-05,Chievo,Atalanta,0-1,0-1
2013-10-05,Inter,Roma,0-3,0-3
2013-10-18,Roma,Napoli,2-0,1-0
2013-10-19,Cagliari,Catania,2-1,1-1
2013-10-19,Milan,Udinese,1-0,1-0
2013-10-20,Atalanta,Lazio,2-1,1-0
2013-10-20,Fiorentina,Juventus,4-2,0-2
2013-10-20,Genoa,Chievo,2-1,1-0
2013-10-20,Livorno,Sampdoria,1-2,0-1
2013-10-20,Sassuolo,Bologna,2-1,2-1
2013-10-20,Verona,Parma,3-2,1-2
2013-10-20,Torino,Inter,3-3,1-1
2013-10-26,Inter,Verona,4-2,3-1
2013-10-26,Sampdoria,Atalanta,1-0,0-0
2013-10-27,Bologna,Livorno,1-0,1-0
2013-10-27,Catania,Sassuolo,0-0,0-0
2013-10-27,Chievo,Fiorentina,1-2,1-1
2013-10-27,Juventus,Genoa,2-0,2-0
2013-10-27,Lazio,Cagliari,2-0,0-0
2013-10-27,Napoli,Torino,2-0,2-0
2013-10-27,Parma,Milan,3-2,2-0
