Date,Team 1,Team 2,FT,HT
2013-10-27,Udinese,Roma,0-1,0-0
2013-10-29,Atalanta,Inter,1-1,1-1
2013-10-30,Cagliari,Bologna,0-3,0-1
2013-10-30,Fiorentina,Napoli,1-2,1-2
2013-10-30,Genoa,Parma,1-0,0-0
2013-10-30,Juventus,Catania,4-0,2-0
2013-10-30,Livorno,Torino,3-3,2-2
2013-10-30,Milan,Lazio,1-1,0-0
2013-10-30,Sassuolo,Udinese,1-2,1-1
2013-10-30,Verona,Sampdoria,2-0,0-0
2013-10-31,Roma,Chievo,1-0,0-0
2013-11-02,Milan,Fiorentina,0-2,0-1
2013-11-02,Napoli,Catania,2-1,2-1
2013-11-02,Parma,Juventus,0-1,0-0
2013-11-03,Lazio,Genoa,0-2,0-0
2013-11-03,Livorno,Atalanta,1-0,1-0
2013-11-03,Sampdoria,Sassuolo,3-4,1-0
2013-11-03,Torino,Roma,1-1,0-1
2013-11-03,Udinese,Inter,0-3,0-2
2013-11-03,Verona,Cagliari,2-1,1-0
2013-11-04,Bologna,Chievo,0-0,0-0
2013-11-09,Catania,Udinese,1-0,1-0
2013-11-09,Inter,Livorno,2-0,1-0
2013-11-10,Atalanta,Bologna,2-1,0-0
2013-11-10,Cagliari,Torino,2-1,1-0
2013-11-10,Chievo,Milan,0-0,0-0
2013-11-10,Genoa,Verona,2-0,2-0
2013-11-10,Parma,Lazio,1-1,0-0
2013-11-10,Roma,Sassuolo,1-1,1-0
2013-11-10,Fiorentina,Sampdoria,2-1,2-0
2013-11-10,Juventus,Napoli,3-0,1-0
2013-11-23,Milan,Genoa,1-1,1-1
2013-11-23,Napoli,Parma,0-1,0-0
2013-11-23,Verona,Chievo,0-1,0-0
2013-11-24,Bologna,Inter,1-1,1-0
2013-11-24,Livorno,Juventus,0-2,0-0
2013-11-24,Sampdoria,Lazio,1-1,0-0
2013-11-24,Sassuolo,Atalanta,2-0,0-0
2013-11-24,Torino,Catania,4-1,2-0
2013-11-24,Udinese,Fiorentina,1-0,1-0
2013-11-25,Roma,Cagliari,0-0,0-0
2013-11-30,Genoa,Torino,1-1,0-1
2013-11-30,Parma,Bologna,1-1,1-1
2013-12-01,Atalanta,Roma,1-1,0-0
2013-12-01,Cagliari,Sassuolo,2-2,0-2
2013-12-01,Catania,Milan,1-3,1-1
2013-12-01,Chievo,Livorno,3-0,1-0
2013-12-01,Inter,Sampdoria,1-1,1-0
2013-12-01,Juventus,Udinese,1-0,0-0
2013-12-02,Fiorentina,Verona,4-3,3-2
2013-12-02,Lazio,Napoli,2-4,1-1
2013-12-06,Bologna,Juventus,0-2,0-1
2013-12-07,Livorno,Milan,2-2,1-1
2013-12-07,Napoli,Udinese,3-3,2-1
2013-12-08,Cagliari,Genoa,2-1,0-1
2013-12-08,Inter,Parma,3-3,1-2
2013-12-08,Roma,Fiorentina,2-1,1-1
2013-12-08,Sampdoria,Catania,2-0,0-0
2013-12-08,Sassuolo,Chievo,0-1,0-0
2013-12-08,Torino,Lazio,1-0,1-0
2013-12-08,Verona,Atalanta,2-1,0-1
2013-12-14,Catania,Verona,0-0,0-0
2013-12-15,Chievo,Sampdoria,0-1,0-1
2013-12-15,Fiorentina,Bologna,3-0,2-0
2013-12-15,Genoa,Atalanta,1-1,0-0
2013-12-15,Juventus,Sassuolo,4-0,3-0
2013-12-15,Lazio,Livorno,2-0,2-0
2013-12-15,Napoli,Inter,4-2,3-2
2013-12-15,Parma,Cagliari,0-0,0-0
2013-12-15,Udinese,Torino,0-2,0-0
2013-12-16,Milan,Roma,2-2,1-1
2013-12-21,Cagliari,Napoli,1-1,1-1
2013-12-21,Livorno,Udinese,1-2,1-1
2013-12-22,Atalanta,Juventus,1-4,1-1
2013-12-22,Bologna,Genoa,1-0,0-0
2013-12-22,Inter,Milan,1-0,0-0
2013-12-22,Roma,Catania,4-0,1-0
2013-12-22,Sampdoria,Parma,1-1,1-0
2013-12-22,Sassuolo,Fiorentina,0-1,0-0
2013-12-22,Torino,Chievo,4-1,1-1
2013-12-22,Verona,Lazio,4-1,2-1
2014-01-05,Chievo,Cagliari,0-0,0-0
2014-01-05,Fiorentina,Livorno,1-0,0-0
2014-01-05,Juventus,Roma,3-0,1-0
2014-01-06,Catania,Bologna,2-0,1-0
2014-01-06,Genoa,Sassuolo,2-0,2-0
2014-01-06,Lazio,Inter,1-0,0-0
2014-01-06,Milan,Atalanta,3-0,1-0
2014-01-06,Napoli,Sampdoria,2-0,0-0
2014-01-06,Parma,Torino,3-1,2-1
2014-01-06,Udinese,Verona,1-3,1-2
2014-01-11,Bologna,Lazio,0-0,0-0
2014-01-11,Livorno,Parma,0-3,0-1
2014-01-12,Atalanta,Catania,2-1,0-0
2014-01-12,Cagliari,Juventus,1-4,1-1
2014-01-12,Roma,Genoa,4-0,3-0
2014-01-12,Sassuolo,Milan,4-3,3-2
2014-01-12,Torino,Fiorentina,0-0,0-0
2014-01-12,Verona,Napoli,0-3,0-1
2014-01-13,Inter,Chievo,1-1,1-1
2014-01-13,Sampdoria,Udinese,3-0,1-0
2014-01-18,Juventus,Sampdoria,4-2,3-1
2014-01-18,Roma,Livorno,3-0,2-0
2014-01-19,Atalanta,Cagliari,1-0,0-0
2014-01-19,Bologna,Napoli,2-2,1-0
2014-01-19,Catania,Fiorentina,0-3,0-3
2014-01-19,Chievo,Parma,1-2,1-1
2014-01-19,Genoa,Inter,1-0,0-0
2014-01-19,Milan,Verona,1-0,0-0
2014-01-19,Sassuolo,Torino,0-2,0-1
2014-01-19,Udinese,Lazio,2-3,1-0
2014-01-25,Lazio,Juventus,1-1,1-0
2014-01-25,Napoli,Chievo,1-1,0-1
2014-01-26,Cagliari,Milan,1-2,1-0
2014-01-26,Inter,Catania,0-0,0-0
2014-01-26,Livorno,Sassuolo,3-1,3-1
2014-01-26,Parma,Udinese,1-0,1-0
2014-01-26,Sampdoria,Bologna,1-1,0-0
2014-01-26,Torino,Atalanta,1-0,0-0
2014-01-26,Verona,Roma,1-3,0-1
2014-01-26,Fiorentina,Genoa,3-3,2-2
2014-02-01,Bologna,Udinese,0-2,0-1
2014-02-01,Cagliari,Fiorentina,1-0,1-0
2014-02-01,Milan,Torino,1-1,0-1
2014-02-02,Atalanta,Napoli,3-0,0-0
2014-02-02,Catania,Livorno,3-3,0-0
2014-02-02,Chievo,Lazio,0-2,0-1
2014-02-02,Sassuolo,Verona,1-2,0-0
2014-02-02,Juventus,Inter,3-1,1-0
2014-02-03,Genoa,Sampdoria,0-1,0-1
2014-02-08,Fiorentina,Atalanta,2-0,1-0
2014-02-08,Napoli,Milan,3-1,1-1
2014-02-08,Udinese,Chievo,3-0,0-0
2014-02-09,Lazio,Roma,0-0,0-0
2014-02-09,Livorno,Genoa,0-1,0-1
2014-02-09,Parma,Catania,0-0,0-0
2014-02-09,Sampdoria,Cagliari,1-0,1-0
2014-02-09,Torino,Bologna,1-2,1-2
2014-02-09,Verona,Juventus,2-2,0-2
2014-02-09,Inter,Sassuolo,1-0,0-0
2014-02-14,Milan,Bologna,1-0,0-0
2014-02-15,Fiorentina,Inter,1-2,0-1
2014-02-16,Atalanta,Parma,0-4,0-1
2014-02-16,Cagliari,Livorno,1-2,0-1
2014-02-16,Catania,Lazio,3-1,1-1
2014-02-16,Genoa,Udinese,3-3,1-2
2014-02-16,Juventus,Chievo,3-1,2-0
2014-02-16,Sassuolo,Napoli,0-2,0-1
2014-02-16,Roma,Sampdoria,3-0,1-0
2014-02-17,Verona,Torino,1-3,1-0
2014-02-22,Bologna,Roma,0-1,0-1
2014-02-23,Chievo,Catania,2-0,1-0
2014-02-23,Inter,Cagliari,1-1,0-1
2014-02-23,Juventus,Torino,1-0,1-0
2014-02-23,Livorno,Verona,2-3,0-3
2014-02-23,Sampdoria,Milan,0-2,0-1
2014-02-23,Udinese,Atalanta,1-1,0-1
2014-02-23,Lazio,Sassuolo,3-2,1-0
2014-02-24,Napoli,Genoa,1-1,1-0
2014-02-24,Parma,Fiorentina,2-2,1-1
2014-03-01,Roma,Inter,0-0,0-0
2014-03-02,Atalanta,Chievo,2-1,1-0
2014-03-02,Cagliari,Udinese,3-0,1-0
2014-03-02,Fiorentina,Lazio,0-1,0-1
2014-03-02,Genoa,Catania,2-0,1-0
2014-03-02,Livorno,Napoli,1-1,1-1
2014-03-02,Milan,Juventus,0-2,0-1
2014-03-02,Sassuolo,Parma,0-1,0-1
2014-03-02,Torino,Sampdoria,0-2,0-1
2014-03-02,Verona,Bologna,0-0,0-0
2014-03-08,Catania,Cagliari,1-1,0-0
2014-03-08,Udinese,Milan,1-0,0-0
2014-03-09,Bologna,Sassuolo,0-0,0-0
2014-03-09,Chievo,Genoa,2-1,1-0
2014-03-09,Inter,Torino,1-0,1-0
2014-03-09,Juventus,Fiorentina,1-0,1-0
2014-03-09,Lazio,Atalanta,0-1,0-0
2014-03-09,Napoli,Roma,1-0,0-0
2014-03-09,Parma,Verona,2-0,1-0
2014-03-09,Sampdoria,Livorno,4-2,0-2
2014-03-15,Verona,Inter,0-2,0-1
2014-03-16,Atalanta,Sampdoria,3-0,2-0
2014-03-16,Cagliari,Lazio,0-2,0-1
2014-03-16,Fiorentina,Chievo,3-1,2-0
2014-03-16,Genoa,Juventus,0-1,0-0
2014-03-16,Livorno,Bologna,2-1,0-0
2014-03-16,Milan,Parma,2-4,0-1
2014-03-16,Sassuolo,Catania,3-1,0-1
2014-03-17,Roma,Udinese,3-2,2-0
2014-03-17,Torino,Napoli,0-1,0-0
2014-03-22,Chievo,Roma,0-2,0-2
2014-03-22,Torino,Livorno,3-1,1-0
2014-03-23,Bologna,Cagliari,1-0,0-0
2014-03-23,Catania,Juventus,0-1,0-0
2014-03-23,Inter,Atalanta,1-2,1-1
2014-03-23,Lazio,Milan,1-1,0-1
2014-03-23,Napoli,Fiorentina,0-1,0-0
2014-03-23,Parma,Genoa,1-1,1-1
2014-03-23,Sampdoria,Verona,5-0,3-0
2014-03-23,Udinese,Sassuolo,1-0,1-0
2014-03-25,Roma,Torino,2-1,1-0
2014-03-26,Atalanta,Livorno,2-0,1-0
2014-03-26,Cagliari,Verona,1-0,1-0
2014-03-26,Catania,Napoli,2-4,0-4
2014-03-26,Chievo,Bologna,3-0,1-0
2014-03-26,Fiorentina,Milan,0-2,0-1
2014-03-26,Genoa,Lazio,2-0,0-0
2014-03-26,Juventus,Parma,2-1,2-0
2014-03-26,Sassuolo,Sampdoria,1-2,1-1
2014-03-27,Inter,Udinese,0-0,0-0
2014-03-29,Bologna,Atalanta,0-2,0-2
2014-03-29,Milan,Chievo,3-0,2-0
2014-03-30,Lazio,Parma,3-2,1-1
2014-03-30,Napoli,Juventus,2-0,1-0
2014-03-30,Sampdoria,Fiorentina,0-0,0-0
2014-03-30,Sassuolo,Roma,0-2,0-1
2014-03-30,Torino,Cagliari,2-1,1-0
2014-03-30,Verona,Genoa,3-0,1-0
2014-03-31,Livorno,Inter,2-2,0-2
2014-03-31,Udinese,Catania,1-0,0-0
2014-04-02,Roma,Parma,4-2,2-1
2014-04-05,Chievo,Verona,0-1,0-0
2014-04-05,Inter,Bologna,2-2,1-1
2014-04-06,Atalanta,Sassuolo,0-2,0-1
2014-04-06,Cagliari,Roma,1-3,0-1
2014-04-06,Catania,Torino,1-2,1-0
2014-04-06,Fiorentina,Udinese,2-1,1-0
2014-04-06,Lazio,Sampdoria,2-0,1-0
2014-04-06,Parma,Napoli,1-0,0-0
2014-04-07,Genoa,Milan,1-2,0-1
2014-04-07,Juventus,Livorno,2-0,2-0
2014-04-12,Roma,Atalanta,3-1,2-0
2014-04-12,Sassuolo,Cagliari,1-1,1-0
2014-04-13,Bologna,Parma,1-1,1-0
2014-04-13,Livorno,Chievo,2-4,2-3
2014-04-13,Napoli,Lazio,4-2,1-1
2014-04-13,Sampdoria,Inter,0-4,0-1
2014-04-13,Torino,Genoa,2-1,0-0
2014-04-13,Verona,Fiorentina,3-5,1-2
2014-04-13,Milan,Catania,1-0,1-0
2014-04-14,Udinese,Juventus,0-2,0-2
2014-04-19,Atalanta,Verona,1-2,0-0
2014-04-19,Catania,Sampdoria,2-1,1-0
2014-04-19,Chievo,Sassuolo,0-1,0-1
2014-04-19,Fiorentina,Roma,0-1,0-1
2014-04-19,Genoa,Cagliari,1-2,1-1
2014-04-19,Juventus,Bologna,1-0,0-0
2014-04-19,Lazio,Torino,3-3,1-0
2014-04-19,Milan,Livorno,3-0,1-0
2014-04-19,Parma,Inter,0-2,0-0
2014-04-19,Udinese,Napoli,1-1,0-1
2014-04-25,Roma,Milan,2-0,1-0
2014-04-26,Bologna,Fiorentina,0-3,0-2
2014-04-26,Inter,Napoli,0-0,0-0
2014-04-27,Atalanta,Genoa,1-1,0-1
2014-04-27,Cagliari,Parma,1-0,1-0
2014-04-27,Livorno,Lazio,0-2,0-1
2014-04-27,Sampdoria,Chievo,2-1,0-0
2014-04-27,Torino,Udinese,2-0,1-0
2014-04-27,Verona,Catania,4-0,3-0
2014-04-28,Sassuolo,Juventus,1-3,1-1
2014-05-04,Catania,Roma,4-1,2-1
2014-05-04,Chievo,Torino,0-1,0-0
2014-05-04,Genoa,Bologna,0-0,0-0
2014-05-04,Parma,Sampdoria,2-0,1-0
2014-05-04,Udinese,Livorno,5-3,5-2
2014-05-04,Milan,Inter,1-0,0-0
2014-05-05,Juventus,Atalanta,1-0,0-0
2014-05-05,Lazio,Verona,3-3,1-1
2014-05-06,Fiorentina,Sassuolo,3-4,0-3
2014-05-06,Napoli,Cagliari,3-0,2-0
2014-05-10,Inter,Lazio,4-1,3-1
2014-05-10,Verona,Udinese,2-2,1-0
2014-05-11,Atalanta,Milan,2-1,0-0
2014-05-11,Bologna,Catania,1-2,0-1
2014-05-11,Cagliari,Chievo,0-1,0-0
2014-05-11,Livorno,Fiorentina,0-1,0-0
2014-05-11,Roma,Juventus,0-1,0-0
2014-05-11,Sampdoria,Napoli,2-5,1-3
2014-05-11,Sassuolo,Genoa,4-2,1-1
2014-05-11,Torino,Parma,1-1,1-0
2014-05-17,Udinese,Sampdoria,3-3,2-1
2014-05-18,Catania,Atalanta,2-1,0-0
2014-05-18,Chievo,Inter,2-1,0-1
2014-05-18,Fiorentina,Torino,2-2,0-0
2014-05-18,Genoa,Roma,1-0,0-0
2014-05-18,Juventus,Cagliari,3-0,3-0
2014-05-18,Lazio,Bologna,1-0,0-0
2014-05-18,Milan,Sassuolo,2-1,2-0
2014-05-18,Napoli,Verona,5-1,3-0
2014-05-18,Parma,Livorno,2-0,0-0
