STATE,OPEN
AL,05/14
AK,04/27
AZ,05/12
AR,05/11
CA,
CO,05/08
CT,05/20
DE,05/15
FL,05/04
GA,06/12
HI,05/31
ID,04/30
IL,05/01
IN,05/01
IA,05/01
KS,05/03
KY,05/20
LA,05/15
ME,05/31
MD,
MA,06/18
MI,06/15
MN,
MS,05/11
MO,05/04
MT,05/04
NE,05/31
NV,05/01
NH,05/15
NJ,
NM,05/16
NY,05/15
NC,05/08
ND,05/01
OH,05/12
OK,05/01
OR,05/01
PA,05/08
RI,05/09
SC,05/12
SD,
TN,05/06
TX,05/01
UT,05/01
VT,05/15
VA,06/10
WA,05/05
WV,05/04
WI,05/26
WY,05/01
PR,05/18
