STATE,PARTY
AL,R
AK,R
AZ,R
AR,R
CA,D
CO,D
CT,D
DE,D
FL,R
GA,R
HI,D
ID,R
IL,D
IN,R
IA,R
KS,D
KY,D
LA,D
ME,D
MD,R
MA,R
MI,D
MN,D
MS,R
MO,R
MT,D
NE,R
NV,D
NH,R
NJ,D
NM,D
NY,D
NC,D
ND,R
OH,R
OK,R
OR,D
PA,D
RI,D
SC,R
SD,R
TN,R
TX,R
UT,R
VT,R
VA,D
WA,D
WV,R
WI,D
WY,R
PR,R
