,Holbein Superior ,Holbein Beginner,Blick,Winsor & Newton Winton Oil Color Sets,Sennelier Extra Fine
number of blue,2,2,1,1,2
number of red,3,2,1,1,2
number of yellow,3,2,2,2,2
