,Summons Number,Violation Code,Violation Time,House Number,Street Name,City & State,Zip Code,Lat,Long
0,8725653684,71,0319P,235,Bedford Ave,"Brooklyn,  NY",11211.0,40.7159571,-73.9595272
1,8725653696,20,0322P,235,Bedford Ave,"Brooklyn,  NY",11211.0,40.7159571,-73.9595272
2,8725653702,20,0324P,235,Bedford Ave,"Brooklyn,  NY",11211.0,40.7159571,-73.9595272
3,8670481194,21,1138A,133,Frost St,"Brooklyn,  NY",11211.0,40.7180535,-73.9462496
4,8670481212,21,1140A,133,Frost St,"Brooklyn,  NY",11211.0,40.7180535,-73.9462496
5,8670481200,21,1139A,133,Frost St,"Brooklyn,  NY",11211.0,40.7180535,-73.9462496
6,8670481224,21,1141A,141,Frost St,"Brooklyn,  NY",11211.0,40.7181171,-73.94588230000001
7,8670481236,21,1142A,145,Frost St,"Brooklyn,  NY",11211.0,40.7182133,-73.94574450000002
8,8670481248,21,1143A,151,Frost St,"Brooklyn,  NY",11211.0,40.7181676,-73.94542299999999
9,8708932311,71,0148P,168,Frost St,"Brooklyn,  NY",11211.0,40.7179726,-73.94459599999999
10,8702766942,21,1153A,175,Frost St,"Brooklyn,  NY",11211.0,40.7182739,-73.9442748
11,8702766905,21,1147A,237,Frost St,"Brooklyn,  NY",11211.0,40.7185566,-73.9413828
12,8702766917,21,1149A,239,Frost St,"Brooklyn,  NY",11211.0,40.7185822,-73.9412909
13,8702766929,21,1149A,245,Frost St,"Brooklyn,  NY",11211.0,40.7186267,-73.9410613
14,8702766930,21,1150A,247,Frost St,"Brooklyn,  NY",11211.0,40.7185524,-73.94092049999999
15,8699770583,71,0749A,290,Frost St,"Brooklyn,  NY",11222.0,40.71855679999999,-73.9396071
16,8699770595,70,0753A,340,Frost St,"Brooklyn,  NY",11211.0,40.7189819,-73.9378967
17,8636958866,21,1153A,471,Humboldt St,"Brooklyn,  NY",11211.0,40.7186713,-73.94354
18,1438401164,46,0730A,32,Jackson St,"Brooklyn,  NY",11215.0,40.6623025,-73.986657
19,8692589627,21,0952A,59,Jackson St,"Brooklyn,  NY",11211.0,40.716414,-73.94919200000001
20,8692589639,21,0953A,59,Jackson St,"Brooklyn,  NY",11211.0,40.716414,-73.94919200000001
21,8692589603,21,0948A,75,Jackson St,"Brooklyn,  NY",11211.0,40.716482,-73.948515
22,8692589585,21,0946A,103,Jackson St,"Brooklyn,  NY",11211.0,40.7165636,-73.947249
23,8692589597,21,0946A,107,Jackson St,"Brooklyn,  NY",11211.0,40.7165808,-73.9470309
