Global CO2 emissions 2018-2050,
Forecast of carbon dioxide emissions worldwide from 2018 to 2050 (in billion metric tons),
,
2018,35.32
2020*,35.34
2025*,35.7
2030*,36.41
2035*,37.46
2040*,38.82
2045*,40.78
2050*,43.08
