Cbsa,Region,maincity,msa,score_sdgi,rank_sdgIndex,score_sdg1,score_sdg2,score_sdg3,score_sdg4,score_sdg5,score_sdg6,score_sdg7,score_sdg8,score_sdg9,score_sdg10,score_sdg11,score_sdg12,score_sdg13,score_sdg15,score_sdg16,n_sdg1v1_poverty,n_sdg1v2_childpoverty,n_sdg1v3_workingpoor,n_sdg1v4_sickleave,n_sdg1v5_famleave,n_sdg2v1_foodinsc,n_sdg2v3_foodaccess,n_sdg2v4_obesity,n_sdg3v1_infantmort,n_sdg3v2_trafficdeath,n_sdg3v4_NCD,n_sdg3v6_mentalhealth,n_sdg3v7_overdose,n_sdg3v8_lifeExpectancy,n_sdg3v9_healthinsurance,n_sdg4v2_preschool,n_sdg4v3_tertiaryed,n_sdg4v4_HSgrad,n_sdg4v5_schoolpov,n_sdg5v1_wagegap,n_sdg5v2_wbusiness,n_sdg5v4_womeningov,n_sdg6v1_waterviolation,n_sdg6v3_domesticwatercapita,n_sdg6v4_waterreleasechange,n_sdg7v1_energyburden,n_sdg7v2_renewableprod,n_sdg7v3_renewablecons,n_sdg8v1_GDPgrowth,n_sdg8v2_neets,n_sdg8v3_unemployment,n_sdg9v1_STEMjobs,n_sdg9v2_patents,n_sdg9v3_broadband,n_sdg10v2_gini,n_sdg10v3_upwardmobility,n_sdg10v5_nativeemploy,n_sdg10v7_segregation,n_sdg10v8_MEIscore,n_sdg11v1_overcrowding,n_sdg11v2_sustainabletransit,n_sdg11v3_parkaccess,n_sdg11v4_PM25,n_sdg11v5_rentburden,n_sdg12v1_ozone,n_sdg12v3_toxicRelease,n_sdg12v4_airreleasechange,n_sdg13v1_GHGcapita,n_sdg13v2_climateaware,n_sdg13v3_adaptationplan,n_sdg15v1_parkarea,n_sdg15v2_naturalpark,n_sdg15v4_landreleasechange,n_sdg16v1_incarcerationrate,n_sdg16v2_prisonadmission,n_sdg16v5_firearmdeath,n_sdg16v6_nonwhitegov,sdg1v1_poverty,sdg1v2_childpoverty,sdg1v3_workingpoor,sdg1v4_sickleave,sdg1v5_famleave,sdg2v1_foodinsc,sdg2v3_foodaccess,sdg2v4_obesity,sdg3v1_infantmort,sdg3v2_trafficdeath,sdg3v4_NCD,sdg3v6_mentalhealth,sdg3v7_overdose,sdg3v8_lifeExpectancy,sdg3v9_healthinsurance,sdg4v2_preschool,sdg4v3_tertiaryed,sdg4v4_HSgrad,sdg4v5_schoolpov,sdg5v1_wagegap,sdg5v2_wbusiness,sdg5v4_womeningov,sdg6v1_waterviolation,sdg6v3_domesticwatercapita,sdg6v4_waterreleasechange,sdg7v1_energyburden,sdg7v2_renewableprod,sdg7v3_renewablecons,sdg8v1_GDPgrowth,sdg8v2_neets,sdg8v3_unemployment,sdg9v1_STEMjobs,sdg9v2_patents,sdg9v3_broadband,sdg10v2_gini,sdg10v3_upwardmobility,sdg10v5_nativeemploy,sdg10v7_segregation,sdg10v8_MEIscore,sdg11v1_overcrowding,sdg11v2_sustainabletransit,sdg11v3_parkaccess,sdg11v4_PM25,sdg11v5_rentburden,sdg12v1_ozone,sdg12v3_toxicRelease,sdg12v4_airreleasechange,sdg13v1_GHGcapita,sdg13v2_climateaware,sdg13v3_adaptationplan,sdg15v1_parkarea,sdg15v2_naturalpark,sdg15v4_landreleasechange,sdg16v1_incarcerationrate,sdg16v2_prisonadmission,sdg16v5_firearmdeath,sdg16v6_nonwhitegov
41860,4,San Francisco,"San Francisco-Oakland-Hayward, CA",70,1,84,68,86,61,62,91,35,79,83,61,60,51,85,76,64,70,71,80,100,100,32,73,98,81,78,96,84,83,100,77,40,100,54,52,40,44,100,92,86,94,40,38,29,83,86,67,91,100,57,29,80,50,47,100,32,66,82,98,20,42,87,22,56,100,100,74,57,98,4,87,76,87,9,4,1,1,1,12,9,21,4,5,261,3,12,83,96,60,57,84,23,76,41,52.94,6,60,-3,31,38,13,5,8,4,16,26,81,0,45,1,53,100,7,36,85,13,47,0,3020214,4,10,82,1,20,53,7,455,55,4,6
41940,4,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",68,2,87,74,90,65,28,53,36,90,87,78,47,73,57,81,69,79,73,84,100,100,45,78,100,86,66,100,100,99,100,79,36,100,60,66,5,43,37,72,87,0,41,38,29,100,100,71,100,100,62,52,90,77,72,100,18,26,73,99,19,48,99,73,72,98,0,51,95,98,0,84,94,99,7,4,1,1,1,10,8,20,3,7,239,3,8,84,96,58,59,85,17,62,41,27.27,22,59,2777,31,38,13,8,6,4,23,68,83,0,46,1,45,100,8,21,78,11,47,0,206119,-11,7,79,0,14,87,4,594,71,2,0
47900,3,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",67,3,84,56,74,65,51,86,41,53,56,74,59,69,82,82,69,76,65,81,100,100,55,51,60,52,72,83,90,69,87,62,29,95,74,62,45,54,54,96,74,87,22,100,0,23,73,65,93,16,58,69,67,81,79,,69,45,64,100,19,53,96,58,58,87,100,84,64,97,28,100,75,74,8,5,1,1,1,8,17,26,6,6,297,3,16,82,92,53,55,88,19,78,43,33.33,3,78,21,39,100,1,1,10,4,17,5,81,0,43,1,43,,3,28,70,10,47,0,916733,-7,9,77,1,22,59,19,348,1,5,11
42660,4,Seattle,"Seattle-Tacoma-Bellevue, WA",66,4,83,45,73,57,53,66,63,73,72,66,58,53,88,52,85,69,65,83,100,100,31,38,65,74,74,79,73,70,73,72,19,75,57,78,24,48,87,34,67,97,0,90,100,71,78,69,90,68,59,60,69,46,53,100,65,42,66,100,18,18,92,51,77,87,100,43,16,98,80,72,89,100,9,5,1,1,1,12,22,26,4,6,308,3,16,81,94,47,47,85,11,70,42,45.45,52,88,-13,72,90,45,4,10,4,16,16,82,0,43,1,51,100,4,27,72,10,48,0,1978241,-5,6,77,1,12,16,9,114,122,3,-2
31540,2,Madison,"Madison, WI",66,5,63,50,72,76,51,67,40,79,58,78,59,83,64,70,78,58,76,80,0,100,42,46,62,64,56,93,70,63,77,79,18,96,100,91,37,23,93,46,88,67,34,65,19,59,,100,100,31,42,78,81,64,69,100,84,29,57,100,23,65,99,86,7,85,100,47,64,99,55,66,96,96,11,4,1,0,1,10,19,26,5,8,269,3,17,81,96,46,56,91,4,75,38,47.62,43,58,81,34,66,10,3,,2,18,8,74,0,45,1,46,100,2,22,64,8,45,0,265335,-15,19,77,1,13,59,-9,228,147,2,2
38900,4,Portland,"Portland-Vancouver-Hillsboro, OR-WA",66,6,79,50,67,49,62,80,78,58,57,63,57,49,83,83,69,58,64,71,100,100,30,62,58,71,64,78,41,81,65,69,26,66,31,74,30,55,100,73,70,97,35,100,100,36,68,71,64,56,51,69,50,51,62,82,70,32,71,100,13,35,70,42,76,73,100,66,82,99,55,91,93,34,11,5,2,1,1,13,13,27,5,7,312,4,13,81,94,51,43,81,13,72,43,50.00,21,83,-11,33,100,48,2,11,4,14,13,78,0,41,1,48,86,3,23,76,8,51,0,6975494,-2,6,75,1,18,76,-13,226,39,2,28
41740,4,San Diego,"San Diego-Carlsbad, CA",63,7,75,65,73,41,56,89,38,55,74,68,41,46,78,92,57,53,54,67,100,100,34,60,100,76,70,83,56,78,88,61,29,58,32,44,39,40,89,99,72,96,47,38,29,41,79,43,66,100,56,49,78,49,66,100,30,15,58,100,2,24,95,18,72,60,100,90,89,99,0,76,95,58,12,7,2,1,1,12,14,20,4,6,297,4,13,82,92,53,40,81,27,76,41,46.15,1,81,-7,27,38,13,2,9,5,14,27,81,0,44,1,47,100,7,16,66,10,57,0,1164154,5,7,73,1,23,81,-2,619,102,2,18
14460,1,Boston,"Boston-Cambridge-Newton, MA-NH",63,8,81,52,67,64,28,84,33,70,69,62,60,59,79,72,62,66,57,83,100,100,50,28,78,78,82,87,47,18,71,85,37,100,82,36,30,12,40,74,90,89,37,53,8,41,98,71,90,62,56,30,82,64,32,100,79,45,59,100,16,48,86,43,61,75,100,65,54,98,26,87,96,40,10,6,1,1,1,9,25,24,4,5,285,4,30,81,97,59,58,89,31,72,36,28.57,21,56,13,32,53,6,2,7,4,16,15,81,0,45,1,58,100,2,28,67,7,49,0,3259630,-2,9,75,1,17,50,5,357,56,2,26
12420,3,Austin,"Austin-Round Rock, TX",62,9,78,36,72,60,57,80,18,91,64,73,43,64,77,65,49,61,61,67,100,100,20,22,67,70,54,90,79,92,78,41,26,75,98,40,38,32,100,69,74,99,45,3,7,100,86,87,71,75,45,55,37,92,82,100,60,12,23,100,20,56,92,43,58,74,100,37,60,99,0,40,90,65,10,6,2,1,1,14,27,25,5,9,278,3,10,81,88,51,47,91,29,75,39,63.64,25,79,-17,28,4,6,6,9,3,15,18,75,0,40,1,42,100,4,15,37,10,47,0,1841871,-2,9,75,1,11,55,-5,778,259,2,15
39580,3,Raleigh,"Raleigh, NC",59,10,56,49,64,68,42,91,27,81,73,58,47,69,44,79,40,61,55,63,0,100,29,53,64,54,59,81,53,81,68,50,20,85,86,81,30,32,65,97,80,95,36,30,15,70,88,87,100,65,56,81,18,65,87,38,78,2,27,100,27,63,98,45,77,55,0,51,89,98,0,51,88,21,11,7,3,0,1,13,16,26,6,8,304,4,12,81,90,47,51,89,9,72,39,37.50,2,70,-7,33,31,9,4,8,3,17,15,80,0,38,1,40,52,2,11,41,9,43,0,496283,-3,6,72,0,14,81,12,567,210,3,34
