Cbsa,Region,maincity,msa,score_sdgi,rank_sdgIndex,score_sdg1,score_sdg2,score_sdg3,score_sdg4,score_sdg5,score_sdg6,score_sdg7,score_sdg8,score_sdg9,score_sdg10,score_sdg11,score_sdg12,score_sdg13,score_sdg15,score_sdg16,n_sdg1v1_poverty,n_sdg1v2_childpoverty,n_sdg1v3_workingpoor,n_sdg1v4_sickleave,n_sdg1v5_famleave,n_sdg2v1_foodinsc,n_sdg2v3_foodaccess,n_sdg2v4_obesity,n_sdg3v1_infantmort,n_sdg3v2_trafficdeath,n_sdg3v4_NCD,n_sdg3v6_mentalhealth,n_sdg3v7_overdose,n_sdg3v8_lifeExpectancy,n_sdg3v9_healthinsurance,n_sdg4v2_preschool,n_sdg4v3_tertiaryed,n_sdg4v4_HSgrad,n_sdg4v5_schoolpov,n_sdg5v1_wagegap,n_sdg5v2_wbusiness,n_sdg5v4_womeningov,n_sdg6v1_waterviolation,n_sdg6v3_domesticwatercapita,n_sdg6v4_waterreleasechange,n_sdg7v1_energyburden,n_sdg7v2_renewableprod,n_sdg7v3_renewablecons,n_sdg8v1_GDPgrowth,n_sdg8v2_neets,n_sdg8v3_unemployment,n_sdg9v1_STEMjobs,n_sdg9v2_patents,n_sdg9v3_broadband,n_sdg10v2_gini,n_sdg10v3_upwardmobility,n_sdg10v5_nativeemploy,n_sdg10v7_segregation,n_sdg10v8_MEIscore,n_sdg11v1_overcrowding,n_sdg11v2_sustainabletransit,n_sdg11v3_parkaccess,n_sdg11v4_PM25,n_sdg11v5_rentburden,n_sdg12v1_ozone,n_sdg12v3_toxicRelease,n_sdg12v4_airreleasechange,n_sdg13v1_GHGcapita,n_sdg13v2_climateaware,n_sdg13v3_adaptationplan,n_sdg15v1_parkarea,n_sdg15v2_naturalpark,n_sdg15v4_landreleasechange,n_sdg16v1_incarcerationrate,n_sdg16v2_prisonadmission,n_sdg16v5_firearmdeath,n_sdg16v6_nonwhitegov,sdg1v1_poverty,sdg1v2_childpoverty,sdg1v3_workingpoor,sdg1v4_sickleave,sdg1v5_famleave,sdg2v1_foodinsc,sdg2v3_foodaccess,sdg2v4_obesity,sdg3v1_infantmort,sdg3v2_trafficdeath,sdg3v4_NCD,sdg3v6_mentalhealth,sdg3v7_overdose,sdg3v8_lifeExpectancy,sdg3v9_healthinsurance,sdg4v2_preschool,sdg4v3_tertiaryed,sdg4v4_HSgrad,sdg4v5_schoolpov,sdg5v1_wagegap,sdg5v2_wbusiness,sdg5v4_womeningov,sdg6v1_waterviolation,sdg6v3_domesticwatercapita,sdg6v4_waterreleasechange,sdg7v1_energyburden,sdg7v2_renewableprod,sdg7v3_renewablecons,sdg8v1_GDPgrowth,sdg8v2_neets,sdg8v3_unemployment,sdg9v1_STEMjobs,sdg9v2_patents,sdg9v3_broadband,sdg10v2_gini,sdg10v3_upwardmobility,sdg10v5_nativeemploy,sdg10v7_segregation,sdg10v8_MEIscore,sdg11v1_overcrowding,sdg11v2_sustainabletransit,sdg11v3_parkaccess,sdg11v4_PM25,sdg11v5_rentburden,sdg12v1_ozone,sdg12v3_toxicRelease,sdg12v4_airreleasechange,sdg13v1_GHGcapita,sdg13v2_climateaware,sdg13v3_adaptationplan,sdg15v1_parkarea,sdg15v2_naturalpark,sdg15v4_landreleasechange,sdg16v1_incarcerationrate,sdg16v2_prisonadmission,sdg16v5_firearmdeath,sdg16v6_nonwhitegov
10580,1,Albany,"Albany-Schenectady-Troy, NY",59,11,60,39,62,63,19,81,36,56,66,64,49,78,66,100,47,61,59,81,0,100,41,28,48,40,74,55,44,83,55,84,40,68,59,87,33,5,,73,76,96,38,46,24,28,87,52,77,77,45,62,67,53,39,100,91,12,20,100,23,71,95,67,34,63,100,,,100,0,47,93,,10,6,1,0,1,11,25,28,8,6,376,4,12,80,97,60,44,85,7,73,35,,22,75,-7,32,47,12,1,8,5,15,18,76,0,43,1,56,100,1,15,35,7,45,0,1308479,-9,14,73,1,,,-20,802,230,2,
46520,4,Urban Honolulu,"Urban Honolulu, HI",58,12,44,51,79,48,44,70,61,62,27,56,49,73,51,99,60,73,64,83,0,0,36,33,83,57,74,71,100,77,93,83,20,42,53,79,39,49,,91,28,91,62,100,22,37,74,76,30,4,46,73,83,28,64,33,8,50,85,100,0,90,91,36,52,100,0,100,100,98,0,79,100,,8,5,1,0,0,11,23,23,6,6,332,3,14,83,97,47,34,84,10,75,42,,7,145,7,20,100,11,2,10,4,11,2,76,0,45,1,48,48,9,30,88,4,58,0,2103790,0,10,81,0,33,91,8,497,90,1,
33460,2,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",58,13,85,46,81,44,53,93,44,73,56,65,57,38,27,54,54,74,70,83,100,100,48,25,64,65,77,88,100,81,74,79,24,75,37,40,35,25,100,99,87,92,28,70,33,41,90,89,66,56,46,65,81,22,58,100,77,16,69,100,23,68,0,47,25,55,0,54,11,98,14,57,88,58,8,4,1,1,1,9,26,26,5,5,284,3,13,81,96,50,47,82,29,74,38,50.00,1,59,5,36,70,15,2,8,3,14,13,76,0,45,1,50,100,2,17,75,9,45,0,23425092,-4,15,72,0,15,11,4,413,184,3,18
14860,1,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",58,14,64,51,78,65,46,75,16,40,46,36,47,57,76,100,72,70,64,87,100,0,46,15,93,73,73,100,88,63,94,54,53,74,87,45,25,13,100,89,100,37,27,14,8,0,100,19,32,51,55,0,65,69,19,26,68,30,28,100,7,39,100,33,62,66,100,,,100,,,95,50,9,5,1,1,0,10,29,22,4,6,240,3,17,83,91,69,47,89,27,70,36,52.38,9,39,177,37,15,6,-1,6,6,11,12,80,1,43,1,63,42,3,22,41,7,54,0,150889,0,9,74,1,,,-20,,,2,22
19780,2,Des Moines,"Des Moines-West Des Moines, IA",58,15,44,45,67,50,32,88,64,92,33,73,48,72,28,98,31,73,71,74,0,0,38,61,37,58,68,49,85,79,49,78,14,64,100,23,30,26,40,94,83,86,24,94,73,79,100,97,45,22,31,70,79,48,79,91,77,3,30,100,29,73,95,49,56,30,0,,,98,0,18,81,27,8,4,2,0,0,11,14,30,6,7,390,3,13,79,96,43,43,92,38,72,38,28.57,4,65,22,38,94,29,5,6,3,12,6,69,0,44,1,43,93,2,11,42,7,41,0,1127820,-4,10,67,0,,,1,891,355,4,32
37100,4,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",57,16,80,69,71,41,38,69,37,50,48,65,40,65,47,98,43,68,64,69,100,100,56,54,97,69,56,87,67,73,89,58,28,33,65,38,39,36,40,48,65,94,46,38,29,12,84,54,29,57,58,58,80,75,63,46,34,9,57,97,2,39,100,56,75,67,0,,,98,0,80,91,0,9,5,2,1,1,8,16,21,5,8,285,3,15,82,92,53,30,86,30,76,40,28.57,41,91,-2,28,38,13,0,9,5,11,14,81,0,44,1,48,58,7,14,65,14,58,0,74514,-6,6,74,0,,,6,596,87,2,43
35620,1,New York,"New York-Newark-Jersey City, NY-NJ-PA",57,17,72,61,73,51,31,77,39,44,36,50,59,35,83,78,69,48,47,67,100,100,39,68,76,75,82,77,61,64,87,65,44,79,48,31,39,26,28,59,78,94,48,46,24,23,61,48,37,29,43,0,75,60,18,100,42,90,56,100,9,42,14,49,64,84,100,81,58,97,37,83,90,64,13,8,2,1,1,11,11,24,4,5,313,4,17,82,93,63,49,84,34,76,38,24.07,32,73,-1,27,47,12,1,12,5,11,7,75,1,44,1,63,100,6,46,64,10,53,0,20260255,-4,8,77,1,21,53,29,307,72,2,16
49340,1,Worcester,"Worcester, MA-CT",57,18,79,42,54,57,36,92,29,62,50,58,51,59,34,88,64,60,51,86,100,100,49,23,54,62,62,67,40,16,44,85,37,58,93,39,32,0,75,90,92,95,25,53,8,33,90,65,67,42,42,49,73,23,44,100,83,7,46,100,18,48,99,31,57,46,0,,,88,35,90,100,30,11,7,1,1,1,9,27,27,6,7,342,4,30,79,97,58,40,90,30,73,34,41.18,8,52,-5,38,53,6,2,8,4,14,10,74,0,44,1,54,100,2,13,56,5,48,0,225517,1,10,70,0,,,154,317,41,1,30
31080,4,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",56,19,69,72,74,33,31,87,38,58,36,61,37,35,78,74,53,40,52,54,100,100,39,82,97,75,64,77,62,94,92,57,31,54,47,0,47,47,0,99,71,92,48,38,29,54,74,45,26,43,41,18,74,71,43,100,0,21,65,98,1,0,71,34,68,67,100,44,80,99,0,71,78,63,14,7,3,1,1,11,6,21,4,7,315,4,9,82,91,55,39,83,49,79,42,11.11,1,83,5,27,38,13,3,10,5,10,10,74,0,44,1,55,100,11,18,71,13,58,0,6766619,0,8,74,1,13,73,-9,801,126,4,16
39300,1,Providence,"Providence-Warwick, RI-MA",56,20,78,39,46,39,21,87,48,54,35,64,52,68,37,100,70,56,53,80,100,100,35,29,52,56,69,60,8,1,47,80,20,47,71,20,26,3,35,82,87,90,41,100,1,23,88,52,46,20,40,41,69,54,54,100,82,13,40,100,23,47,96,62,50,60,0,,,100,59,95,97,29,11,7,1,1,1,12,25,28,6,7,362,4,34,79,96,47,36,87,39,70,35,26.67,14,59,9,30,100,4,1,8,5,12,5,73,0,43,1,51,100,2,15,51,8,45,0,1094240,-8,11,73,0,,,-20,211,23,2,31
24340,2,Grand Rapids,"Grand Rapids-Wyoming, MI",55,21,59,39,64,42,41,90,25,78,29,56,47,70,40,97,55,64,62,69,100,0,40,36,41,56,63,73,49,70,61,75,23,61,67,18,12,10,100,98,83,90,36,29,12,62,85,87,39,13,34,78,41,62,29,69,78,10,26,100,19,63,86,62,12,9,100,,,97,0,64,92,63,10,6,2,1,0,11,22,29,6,7,326,4,16,80,95,49,41,86,40,65,36,50.00,2,66,11,33,29,8,3,9,3,11,4,71,0,40,1,59,76,2,14,40,9,47,0,3421978,-8,18,64,1,,,25,754,154,2,16
19740,4,Denver,"Denver-Aurora-Lakewood, CO",54,22,42,65,70,34,40,74,19,73,47,67,57,68,66,51,44,72,66,73,0,0,42,55,100,61,65,89,80,68,67,64,27,77,0,31,33,42,47,95,34,92,35,4,20,60,68,93,67,23,52,64,54,60,58,100,72,16,83,100,13,47,96,60,32,64,100,25,29,99,0,46,83,45,9,5,2,0,0,10,16,21,6,7,281,3,16,81,93,52,48,76,34,73,41,30.77,4,136,4,33,5,10,3,11,3,14,6,79,0,42,1,50,100,3,17,87,10,51,0,1082012,-7,14,73,1,8,27,-5,821,233,3,24
40900,4,Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",54,23,73,49,62,40,29,84,33,48,39,65,50,48,82,64,48,46,57,61,100,100,19,58,71,66,53,63,49,70,61,75,21,38,50,50,50,39,0,98,55,100,34,38,29,48,58,39,56,18,45,51,62,43,70,100,56,14,73,100,5,37,86,20,73,72,100,23,67,100,0,66,79,49,13,6,3,1,1,14,15,25,5,9,354,4,15,80,95,48,32,84,25,80,40,11.11,1,105,-20,34,38,13,3,12,6,13,5,76,0,43,1,46,100,4,16,78,10,55,0,3370992,4,7,75,1,8,62,-20,913,147,4,22
45940,1,Trenton,"Trenton, NJ",54,24,85,43,58,60,16,87,24,19,66,40,55,75,45,100,41,54,,,100,100,38,23,68,40,66,74,50,54,64,58,55,71,88,24,24,8,,89,73,100,57,13,1,0,,39,63,97,38,0,31,89,41,,81,38,42,100,12,55,100,69,,91,0,,,100,0,56,68,,12,,,1,1,11,27,25,8,7,322,4,20,80,92,70,45,90,37,70,36,,8,80,-20,23,14,4,-2,,6,14,22,72,1,39,1,55,,2,25,53,8,51,0,6585,-10,,78,0,,,-21,756,192,5,
41620,4,Salt Lake City,"Salt Lake City, UT",54,25,61,57,58,42,35,66,13,69,45,65,57,29,66,98,46,70,62,71,0,100,32,71,67,65,66,82,59,38,47,51,23,49,40,55,27,14,65,68,39,92,30,3,6,45,75,87,52,39,43,86,92,53,38,56,68,21,72,100,25,39,49,0,59,39,100,,,98,0,73,89,20,9,5,2,0,1,12,10,25,5,7,301,4,24,79,90,49,37,82,22,71,37,37.50,25,129,4,35,4,5,2,10,3,13,10,75,0,46,1,56,66,3,19,77,9,44,0,12045500,14,9,69,1,,,13,593,115,3,35
31700,1,Manchester,"Manchester-Nashua, NH",53,26,25,33,58,59,5,92,36,66,66,53,44,86,21,100,56,74,,,0,0,50,3,48,76,71,73,71,0,46,70,17,64,77,77,9,6,0,96,85,96,34,30,45,50,,82,93,46,60,85,77,3,48,,77,3,17,100,22,63,100,95,,42,0,,,100,7,66,98,54,8,,,0,0,9,34,28,4,6,326,3,45,79,94,45,43,88,11,64,35,7.14,3,63,-8,34,31,19,3,,4,17,11,82,0,44,1,53,,2,11,32,3,45,0,81040,-17,,70,0,,,-20,443,145,1,20
16980,2,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",53,27,75,46,61,52,32,88,17,42,36,48,58,42,66,59,67,53,50,70,100,100,40,52,48,50,73,60,71,60,54,62,28,71,100,10,16,44,34,93,73,98,30,13,9,27,66,32,40,30,38,29,33,68,10,100,72,37,66,100,16,42,32,51,22,77,100,30,49,98,53,96,43,74,12,7,2,1,1,11,17,28,7,6,362,3,18,80,92,53,45,91,44,67,41,26.42,6,79,-16,36,14,6,1,11,6,11,7,73,0,40,1,66,100,3,25,72,10,49,0,15996874,-5,16,75,1,9,45,8,238,17,9,11
39340,4,Provo,"Provo-Orem, UT",52,28,40,41,72,65,7,66,13,94,51,60,55,51,10,98,57,60,76,66,0,0,25,31,67,72,84,100,61,63,61,62,10,60,96,95,0,13,,73,33,93,31,3,6,100,95,87,54,55,43,100,100,66,0,33,52,26,80,100,18,52,98,3,31,0,0,,,98,0,73,98,,11,3,2,0,0,13,24,25,5,4,245,4,17,80,93,41,41,91,3,47,36,,22,137,-1,35,4,5,7,7,3,13,13,75,0,49,1,70,48,5,20,83,9,48,0,415967,9,14,58,0,,,1,506,116,1,
35300,1,New Haven,"New Haven-Milford, CT",52,29,60,34,55,55,48,69,17,33,44,54,50,67,44,,95,60,48,91,100,0,31,17,55,56,57,73,49,17,56,77,52,64,47,57,34,10,100,8,100,99,28,14,8,13,77,11,60,33,39,52,55,48,37,78,82,16,36,100,16,31,98,73,62,69,0,,,,,,89,100,11,8,1,1,0,12,29,27,6,8,326,4,30,80,96,68,43,83,21,74,36,54.84,73,32,-17,36,15,6,1,10,7,13,8,73,0,42,1,57,83,2,17,48,6,49,0,523149,-11,9,74,0,,,,,,3,-9
20500,3,Durham,"Durham-Chapel Hill, NC",51,30,47,39,59,55,53,72,27,44,62,52,44,78,40,51,42,36,29,69,0,100,14,41,61,49,52,76,36,89,64,46,21,91,53,57,60,59,40,39,80,97,36,30,15,18,,69,100,52,34,21,0,83,100,58,75,16,15,100,15,71,96,66,,81,0,5,49,99,0,52,25,89,15,10,2,0,1,15,20,26,7,9,316,4,11,81,89,48,53,84,21,84,44,28.57,49,70,-11,33,31,9,1,,4,18,12,71,0,35,1,35,67,3,16,31,9,49,0,947711,-9,,76,0,4,45,-12,715,208,11,5
44140,1,Springfield,"Springfield, MA",51,31,66,43,51,36,13,66,31,45,31,34,51,64,73,100,57,32,17,83,100,100,45,24,60,59,70,61,0,36,47,87,26,42,73,3,33,7,0,12,87,100,33,53,8,20,70,45,35,18,39,34,49,1,38,49,83,11,55,100,8,53,72,67,49,70,100,,,100,0,83,83,63,16,12,1,1,1,10,26,26,6,6,359,4,25,79,97,51,34,87,47,73,36,7.14,70,59,-21,34,53,6,1,11,5,11,5,73,0,41,1,56,60,2,15,63,7,54,0,6527123,-9,11,74,1,,,-20,703,73,3,16
10420,2,Akron,"Akron, OH",51,32,52,23,39,48,32,74,18,64,37,49,50,78,35,99,65,49,41,71,0,100,16,15,40,43,69,32,40,0,13,75,31,44,94,23,18,17,60,28,95,99,48,5,1,46,88,56,35,37,38,43,26,36,39,100,89,0,39,100,21,63,96,75,63,43,0,,,99,68,38,64,90,13,9,2,0,1,15,30,29,7,7,437,4,42,77,95,54,35,90,38,67,37,35.71,57,48,-17,27,6,4,3,8,5,11,9,72,0,39,1,56,100,1,10,50,8,46,0,1086066,-12,8,70,0,,,-4,168,268,6,4
38300,1,Pittsburgh,"Pittsburgh, PA",51,33,77,29,42,63,30,68,18,62,43,49,53,59,44,71,48,58,51,77,100,100,28,24,35,51,66,43,35,0,21,82,30,79,90,53,16,1,72,21,88,96,48,1,6,46,77,63,70,21,37,38,83,5,22,100,90,20,34,98,25,53,63,61,0,31,100,34,82,98,0,63,66,64,11,7,2,1,1,13,26,30,7,7,408,4,49,78,97,54,49,90,23,67,35,40.00,62,58,-8,27,2,6,2,10,4,14,6,72,0,45,1,62,100,1,18,46,13,44,0,8770533,-8,26,68,1,10,75,14,706,161,6,16
45060,1,Syracuse,"Syracuse, NY",50,34,50,37,54,39,39,75,37,44,36,47,50,73,30,99,46,41,32,77,0,100,31,47,34,52,58,54,43,44,44,80,12,54,53,39,43,12,63,54,76,93,40,46,24,7,88,39,54,22,32,57,50,35,16,79,80,11,39,100,20,66,93,60,37,54,0,,,99,0,46,77,60,14,10,2,0,1,12,18,30,6,8,377,4,22,79,96,42,39,84,30,77,36,36.84,36,75,0,31,47,12,0,8,6,13,6,70,0,41,1,64,84,2,14,50,5,47,0,1631067,-7,13,72,0,,,-6,827,235,4,17
38060,4,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",50,35,49,45,56,23,59,65,22,51,35,64,48,53,72,83,32,45,45,54,100,0,20,59,55,59,39,67,53,57,65,49,7,34,24,29,47,46,85,79,23,93,22,22,21,44,48,61,38,30,38,50,41,47,81,100,56,16,54,96,19,42,82,34,76,39,100,54,97,99,0,6,73,50,13,8,3,1,0,14,14,27,6,11,341,4,19,81,90,39,31,80,35,79,42,44.44,17,151,2,40,23,11,2,14,5,11,8,72,0,40,1,42,100,4,17,62,15,47,0,4210499,0,6,69,1,15,89,-4,1309,405,5,22
47260,3,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",50,36,30,29,52,56,48,90,12,45,30,55,45,69,72,84,39,50,34,64,0,0,25,40,22,57,63,32,65,60,32,55,28,36,92,67,19,57,68,99,73,99,12,14,10,9,78,48,54,2,35,66,18,68,88,36,85,9,18,100,11,66,83,58,65,50,100,57,95,100,0,99,43,15,12,10,3,0,0,13,21,32,6,7,438,4,18,78,91,53,32,90,16,68,43,38.46,1,80,-19,44,15,7,0,10,5,13,2,71,0,38,1,39,50,2,14,33,7,52,0,4037362,-7,8,71,1,16,87,-16,610,3,9,37
