Month,Vegan,Vegetarian
2004-01,13,23
2004-02,11,20
2004-03,12,18
2004-04,13,19
2004-05,12,18
2004-06,12,19
2004-07,13,21
2004-08,13,19
2004-09,11,18
2004-10,14,21
2004-11,16,24
2004-12,14,22
2005-01,13,19
2005-02,12,20
2005-03,13,20
2005-04,11,21
2005-05,13,19
2005-06,13,17
2005-07,12,20
2005-08,13,18
2005-09,12,19
2005-10,13,18
2005-11,15,22
2005-12,14,19
2006-01,13,19
2006-02,12,17
2006-03,13,18
2006-04,13,18
2006-05,12,18
2006-06,13,20
2006-07,15,16
2006-08,13,16
2006-09,12,17
2006-10,12,18
2006-11,15,17
2006-12,16,19
2007-01,14,19
2007-02,15,19
2007-03,14,16
2007-04,15,17
2007-05,16,17
2007-06,15,17
2007-07,16,17
2007-08,15,17
2007-09,16,18
2007-10,16,18
2007-11,18,21
2007-12,20,18
2008-01,18,20
2008-02,19,19
2008-03,17,18
2008-04,16,17
2008-05,17,17
2008-06,18,18
2008-07,19,16
2008-08,17,17
2008-09,16,17
2008-10,17,17
2008-11,21,21
2008-12,19,21
2009-01,20,22
2009-02,18,20
2009-03,18,18
2009-04,17,18
2009-05,17,18
2009-06,17,18
2009-07,16,19
2009-08,18,18
2009-09,17,18
2009-10,20,21
2009-11,24,24
2009-12,21,21
2010-01,20,23
2010-02,21,23
2010-03,21,21
2010-04,19,20
2010-05,20,20
2010-06,19,19
2010-07,20,18
2010-08,21,18
2010-09,20,19
2010-10,21,19
2010-11,24,21
2010-12,21,20
2011-01,26,25
2011-02,29,23
2011-03,27,22
2011-04,29,22
2011-05,24,21
2011-06,26,20
2011-07,26,20
2011-08,27,20
2011-09,28,22
2011-10,29,22
2011-11,32,24
2011-12,30,21
2012-01,32,26
2012-02,33,23
2012-03,33,21
2012-04,32,20
2012-05,30,21
2012-06,33,21
2012-07,33,20
2012-08,31,19
2012-09,33,21
2012-10,30,20
2012-11,33,22
2012-12,34,21
2013-01,38,24
2013-02,36,22
2013-03,38,23
2013-04,34,21
2013-05,34,20
2013-06,34,19
2013-07,35,20
2013-08,34,20
2013-09,32,21
2013-10,33,21
2013-11,37,22
2013-12,36,21
2014-01,38,25
2014-02,37,21
2014-03,38,21
2014-04,34,20
2014-05,34,19
2014-06,33,19
2014-07,35,20
2014-08,33,19
2014-09,31,19
2014-10,31,19
2014-11,36,21
2014-12,33,19
2015-01,35,20
2015-02,35,19
2015-03,33,19
2015-04,33,18
2015-05,34,17
2015-06,36,17
2015-07,38,19
2015-08,39,19
2015-09,37,18
2015-10,39,20
2015-11,45,23
2015-12,44,21
2016-01,52,24
2016-02,50,22
2016-03,53,21
2016-04,56,21
2016-05,56,21
2016-06,56,20
2016-07,56,19
2016-08,51,18
2016-09,50,19
2016-10,55,20
2016-11,72,21
2016-12,89,21
2017-01,60,24
2017-02,54,21
2017-03,59,22
2017-04,57,21
2017-05,57,20
2017-06,62,21
2017-07,96,26
2017-08,95,25
2017-09,82,23
2017-10,78,24
2017-11,87,27
2017-12,83,27
2018-01,90,29
2018-02,85,27
2018-03,82,25
2018-04,76,23
2018-05,74,22
2018-06,78,22
2018-07,80,23
2018-08,77,23
2018-09,71,22
2018-10,70,22
2018-11,79,25
2018-12,75,24
2019-01,81,26
2019-02,77,24
2019-03,75,24
2019-04,77,22
2019-05,72,21
2019-06,78,22
2019-07,77,22
2019-08,79,23
2019-09,74,22
2019-10,78,24
2019-11,100,27
2019-12,94,25
2020-01,96,29
2020-02,92,25
2020-03,68,19
2020-04,70,20
2020-05,75,20
2020-06,76,20
2020-07,79,21
2020-08,78,20
2020-09,74,20
2020-10,74,20
2020-11,76,20
2020-12,74,20
2021-01,78,21
2021-02,80,20
2021-03,74,19
2021-04,73,18
2021-05,70,18
