Player Name,Season,Statistic,Variable,Value
Ernie Els,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"5,652,075"
Dustin Johnson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"5,280,289"
Matt Kuchar,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"5,180,477"
Jim Furyk,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"4,984,622"
Luke Donald,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"4,630,734"
Steve Stricker,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"4,485,235"
Lee Westwood,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"4,239,954"
Paul Casey,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"4,158,908"
Hunter Mahan,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,947,550"
Ben Crane,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,897,000"
Graeme McDowell,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,869,637"
Phil Mickelson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,865,733"
Justin Rose,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,738,331"
Tim Clark,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,668,202"
Bubba Watson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,655,665"
Retief Goosen,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,595,803"
Jeff Overton,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,528,856"
Robert Allenby,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,380,497"
Rickie Fowler,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,362,308"
Bo Van Pelt,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,336,258"
Camilo Villegas,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,291,273"
Rory McIlroy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,104,280"
Zach Johnson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,099,493"
Bill Haas,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,091,136"
Ryan Palmer,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"3,082,046"
Jason Day,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,990,577"
Anthony Kim,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,907,621"
Ian Poulter,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,884,664"
Nick Watney,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,769,714"
J.B. Holmes,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,746,248"
Adam Scott,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,670,852"
Martin Kaymer,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,636,960"
Ryan Moore,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,612,323"
Charley Hoffman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,559,646"
Martin Laird,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,540,928"
Heath Slocum,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,480,187"
K.J. Choi,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,419,712"
Geoff Ogilvy,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,393,045"
Brian Davis,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,265,516"
Ricky Barnes,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,176,445"
Brendon de Jonge,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,167,978"
Kevin Na,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,093,815"
Tiger Woods,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,090,479"
Carl Pettersson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,074,465"
Stuart Appleby,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,044,825"
Sean O'Hair,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"2,041,540"
David Toms,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,948,498"
Jason Bohn,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,941,263"
D.J. Trahan,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,857,193"
Vaughn Taylor,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,838,861"
Scott Verplank,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,795,690"
Charl Schwartzel,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,788,045"
Stewart Cink,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,778,636"
Francesco Molinari,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,768,696"
Freddie Jacobson,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,666,252"
Arjun Atwal,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,659,643"
Charlie Wi,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,646,492"
Rory Sabbatini,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,633,058"
Brandt Snedeker,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,602,690"
Robert Garrigus,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,583,275"
Kevin Streelman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,564,849"
Charles Howell III,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,557,211"
Marc Leishman,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,544,837"
Jonathan Byrd,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,534,981"
Brian Gay,2010,Total Money (Official and Unofficial),Total Money (Official and Unofficial) - (MONEY),"1,521,663"
