rank,Game,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,Area Control,Dice Rolling,Variable Player Powers,Partnerships,Set Collection,Hand Management,Deck,Tile Placement,Simulation,Storytelling,Memory,Player Elimination,Role Playing,Press Your Luck,owned,category,Environmental,Medical,Card Game,Civilization,Economic,Fantasy,Puzzle,TV/Movie/Radio,War,Horror,Murder/Mystery,Party Game,Trivia,Racing,Territory Building,Adventure,Dice
1,Pandemic Legacy: Season 1,2,4,60,60,60,2015,8.66905,8.48904,18009,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",0,0,1,0,1,1,0,0,0,0,0,0,0,0,29472,"Environmental, Medical",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Through the Ages: A New Story of Civilization,2,4,240,180,240,2015,8.72977,8.30744,7309,14,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",0,0,0,0,0,1,0,0,0,0,0,0,0,0,10007,"Card Game, Civilization, Economic",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Twilight Struggle,2,2,180,180,180,2005,8.35745,8.22021,27403,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",1,1,0,0,0,1,0,0,0,0,0,0,0,0,37382,"Modern Warfare, Political, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Terra Mystica,2,5,150,60,150,2012,8.29627,8.15458,24267,12,"Route/Network Building, Variable Phase Order, Variable Player Powers",0,0,1,0,0,0,0,0,0,0,0,0,0,0,27948,"Civilization, Economic, Fantasy, Territory Building",0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
5,Gloomhaven,1,4,150,90,150,2017,9.0897,8.15151,3978,12,"Action / Movement Programming, Campaign / Battle Card Driven, Co-operative Play, Grid Movement, Hand Management, Modular Board, Simultaneous Action Selection, Storytelling, Variable Player Powers",0,0,1,0,0,1,0,0,0,1,0,0,0,0,6057,"Adventure, Economic, Exploration, Fantasy, Fighting, Miniatures",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
6,Star Wars: Rebellion,2,4,240,180,240,2016,8.53049,8.15037,8696,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management",1,1,0,0,0,1,0,0,0,0,0,0,0,0,14304,"Dice, Fighting, Movies / TV / Radio theme, Science Fiction, Wargame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,Scythe,1,5,115,90,115,2016,8.32419,8.08622,16199,14,"Area Control / Area Influence, Grid Movement, Variable Player Powers",1,0,1,0,0,0,0,0,0,0,0,0,0,0,21702,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
8,Terraforming Mars,1,5,120,90,120,2016,8.37791,8.06267,9749,12,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers",0,0,1,0,0,1,0,1,0,0,0,0,0,0,11567,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,7 Wonders Duel,2,2,30,30,30,2015,8.18761,8.02304,21195,10,"Card Drafting, Set Collection",0,0,0,0,1,0,0,0,0,0,0,0,0,0,33463,"Ancient, Card Game, City Building, Civilization",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Caverna: The Cave Farmers,1,7,210,30,210,2013,8.17949,8.00663,17198,12,"Tile Placement, Worker Placement",0,0,0,0,0,0,0,1,0,0,0,0,0,0,21813,"Animals, Economic, Fantasy, Farming",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,The Castles of Burgundy,2,4,90,30,90,2011,8.11355,7.99721,25446,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",0,1,0,0,1,0,0,1,0,0,0,0,0,0,35131,"Dice, Medieval, Territory Building",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12,Puerto Rico,2,5,150,90,150,2002,8.0878,7.9803,48299,12,Variable Phase Order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55044,"City Building, Economic, Farming",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,War of the Ring (Second Edition),2,4,180,150,180,2012,8.38607,7.96376,6484,13,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",1,1,0,0,0,1,0,0,0,0,0,0,0,0,10457,"Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
14,Agricola,1,5,150,30,150,2007,8.05431,7.96041,48737,12,"Card Drafting, Hand Management, Variable Player Powers, Worker Placement",0,0,1,0,0,1,0,0,0,0,0,0,0,0,58652,"Animals, Economic, Farming",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
