year,confirmed_cases,note
2010,63,
2011,220,
2012,55,
2013,187,
2014,667,Disneyland-linked outbreak
2015,189,
2016,86,
2017,118,
2018,372,
2019,1274,"Sustained transmission in Brooklyn/Rockland County NY; near-loss of elimination status"
2020,13,Pandemic travel collapse
2021,49,
2022,121,
2023,58,
2024,285,
2025,2288,"West Texas–origin outbreak; most cases since 1992; 3 deaths"
2026,1952,"Year-to-date through May 21, 2026"
