number,Holbein Superior ,Holbein Beginner,Blick,Winsor & Newton Winton Oil Color Sets,Sennelier Artists' Extra Fine Oil Paint
number of primary color,8,6,4,4,6
number of earth and black white,4,6,4,5,6
total number,12,12,8,9,12
"percentage of earth, black & white ",0.333333333,0.5,0.5,0.555555556,0.5
price per ml,1.416666667,0.683333333,0.203125,0.26984127,0.349206349
