,number of blue,number of red,number of yellow
,,,
,,,
Holbein Superior ,2,3,3
Holbein Beginner,2,2,2
Blick,1,1,2
Winsor & Newton Winton Oil Color Sets,1,1,2
Sennelier Artists' Extra Fine Oil Paint,2,2,2
total,8,9,11
