,number of earth and black white,total number,"percentage of earth, black & white ",price per ml
Holbein Superior ,4,12,0.333333333,1.416666667
Holbein Beginner,6,12,0.5,0.683333333
Blick,4,8,0.5,0.203125
Winsor & Newton Winton Oil Color Sets,5,9,0.555555556,0.26984127
Sennelier Artists' Extra Fine Oil Paint,6,12,0.5,0.349206349
