Summons Number,Issue Date,Violation Code,Violation Location,Violation Precinct,Violation Time,House Number,Street Name,Intersecting Street,City & State
8678224277,1/14/2019,14,83,83,1200P,W,St Nicholas Ave,07ft N/of Jefferson,"Brooklyn, NY"
8678223868,1/11/2019,21,90,90,1129A,N,Wythe Ave,08ft W/of Rutledge S,"Brooklyn, NY"
8699568241,1/13/2019,50,79,79,0305P,S,Macon St,0ft E/of Arlington P,"Brooklyn, NY"
8701817176,1/11/2019,50,90,90,0837A,N,S 1st St,0ft E/of Driggs Ave,"Brooklyn, NY"
8695487570,1/14/2019,50,90,90,1237P,S,Debevoise St,0ft E/of Graham Ave,"Brooklyn, NY"
8715522556,1/12/2019,50,81,81,0652A,S,Jefferson Ave,0ft E/of Howard Ave,"Brooklyn, NY"
8598239392,1/12/2019,50,79,79,0333P,N,Fulton St,0ft E/of Kingston Av,"Brooklyn, NY"
8582151032,1/12/2019,50,81,81,0842A,S,Pulaski St,0ft E/of Marcus Garv,"Brooklyn, NY"
8611202790,1/11/2019,50,90,90,0331P,S,Rutledge St,0ft E/of Marcy Ave,"Brooklyn, NY"
8689805205,1/14/2019,50,90,90,0239P,S,Harrison Ave,0ft E/of Middleton S,"Brooklyn, NY"
8715522489,1/12/2019,50,81,81,0602A,S,Jefferson Ave,0ft E/of Patchen Ave,"Brooklyn, NY"
8532936362,1/12/2019,50,83,83,0739A,S,Knickerbocker Ave,0ft E/of Schaefer St,"Brooklyn, NY"
8715522672,1/12/2019,50,83,83,0755A,W,Madison St,0ft N/of Bushwick Av,"Brooklyn, NY"
8532936015,1/12/2019,50,83,83,0516A,W,Hart St,0ft N/of Irving Ave,"Brooklyn, NY"
8725321286,1/11/2019,50,81,81,0648A,W,Lewis Ave,0ft N/of Kosciusko S,"Brooklyn, NY"
8594440893,1/11/2019,50,90,90,0223P,E,Powers St,0ft N/of Lorimer St,"Brooklyn, NY"
8535587159,1/11/2019,50,90,90,0624A,W,Union Ave,0ft N/of Lorimer St,"Brooklyn, NY"
8715573850,1/12/2019,50,83,83,0821A,E,Central Ave,0ft N/of Melrose St,"Brooklyn, NY"
8539024056,1/14/2019,50,94,94,0401P,E,Bedford Ave,0ft N/of N 4th St,"Brooklyn, NY"
8714729088,1/14/2019,70,90,90,0918P,W,Bedford Ave,0ft N/of Penn St,"Brooklyn, NY"
8714729076,1/14/2019,50,90,90,0917P,W,Bedford Ave,0ft N/of Penn St,"Brooklyn, NY"
8676196930,1/14/2019,50,90,90,0854A,E,Wythe Ave,0ft N/of S 8th St,"Brooklyn, NY"
8578348667,1/14/2019,50,90,90,0203P,E,Marcy Ave,0ft S/of Broadway,"Brooklyn, NY"
8689861634,1/11/2019,50,88,88,0625A,E,St Johns Pl,0ft S/of Greene Ave,"Brooklyn, NY"
8725657987,1/14/2019,50,90,90,0229P,E,Rutledge St,0ft S/of Kent Ave,"Brooklyn, NY"
8610830482,1/11/2019,50,90,90,0406P,E,Thames St,0ft S/of Morgan Ave,"Brooklyn, NY"
8610830470,1/11/2019,50,90,90,0402P,E,Ingraham St,0ft S/of Morgan Ave,"Brooklyn, NY"
8671539210,1/14/2019,50,90,90,0843P,E,Marcy Ave,0ft S/of Penn St,"Brooklyn, NY"
8715522428,1/12/2019,50,81,81,0550A,E,Marcus Garvey Blvd,0ft S/of Putnam Ave,"Brooklyn, NY"
8611202739,1/11/2019,50,90,90,0133P,W,S 9th St,0ft S/of Rodney St,"Brooklyn, NY"
8539023738,1/11/2019,50,90,90,0135P,W,Broadway,0ft S/of Rodney St,"Brooklyn, NY"
8598239823,1/14/2019,50,83,83,0103P,E,Irving Ave,0ft S/of Stanhope St,"Brooklyn, NY"
8725657938,1/14/2019,50,90,90,0213P,E,Middleton St,0ft S/of Wallabout S,"Brooklyn, NY"
8633556844,1/12/2019,50,88,88,1209P,W,Classon Ave,0ft S/of Willoughby,"Brooklyn, NY"
8666704019,1/14/2019,50,88,88,0719P,S,Atlantic Ave,0ft W/of Cumberland,"Brooklyn, NY"
8715522659,1/12/2019,50,83,83,0730A,S,Central Ave,0ft W/of Greene Ave,"Brooklyn, NY"
8650344689,1/11/2019,50,90,90,0240P,N,Harrison Ave,0ft W/of Hewes St,"Brooklyn, NY"
8676196837,1/12/2019,50,88,88,1013A,N,Dekalb Ave,0ft W/of Hudson Ave,"Brooklyn, NY"
8611202818,1/11/2019,50,90,90,0411P,N,Hewes St,0ft W/of Lee Ave,"Brooklyn, NY"
8539023830,1/11/2019,50,90,90,0438P,N,S 9th St,0ft W/of Rodney St,"Brooklyn, NY"
8725321298,1/11/2019,50,81,81,0650A,S,Kosciusko St,0ft W/of Stuyvesant,"Brooklyn, NY"
8535587147,1/11/2019,50,90,90,0623A,N,Lorimer St,0ft W/of Union Ave,"Brooklyn, NY"
8539023775,1/11/2019,50,90,90,0315P,N,Lorimer St,0ft W/of Union Ave,"Brooklyn, NY"
8714727432,1/11/2019,46,94,94,0827P,S,N 12th St,100ft E/of Bedford A,"Brooklyn, NY"
8689861660,1/11/2019,19,79,79,0642A,N,Gates Ave,100ft E/of Classon A,"Brooklyn, NY"
8650344720,1/11/2019,71,90,90,0507P,N,S 4th St,100ft E/of Marcy Ave,"Brooklyn, NY"
8725067217,1/12/2019,21,88,88,0435A,N,Park Ave,100ft E/of Navy St,"Brooklyn, NY"
8702772929,1/14/2019,70,94,94,1215P,S,Maspeth Ave,100ft E/of Olive St,"Brooklyn, NY"
8702772917,1/14/2019,71,94,94,1214P,S,Maspeth Ave,100ft E/of Olive St,"Brooklyn, NY"
8722756747,1/12/2019,71,94,94,1051A,W,Lorimer St,100ft N/of Driggs Av,"Brooklyn, NY"
8725066821,1/11/2019,21,81,81,0831A,E,Malcolm X Blvd,100ft N/of Marion St,"Brooklyn, NY"
8725067400,1/12/2019,71,90,90,0717A,E,Borinquen Pl,100ft N/of S 1st St,"Brooklyn, NY"
8725067394,1/12/2019,10,90,90,0715A,E,Borinquen Pl,100ft N/of S 1st St,"Brooklyn, NY"
8702772103,1/11/2019,14,90,90,0422P,W,Bushwick Ave,100ft N/of Stagg St,"Brooklyn, NY"
8638492716,1/14/2019,40,88,88,0114P,W,Fleet Pl,100ft N/of Willoughb,"Brooklyn, NY"
8722756723,1/12/2019,40,94,94,1035A,W,N 12th St,100ft S/of Bedford A,"Brooklyn, NY"
8725066833,1/11/2019,21,81,81,0833A,E,Malcolm X Blvd,100ft S/of Chauncey,"Brooklyn, NY"
8708936444,1/14/2019,14,88,88,1016A,W,Hudson Ave,100ft S/of Dekalb Av,"Brooklyn, NY"
8633556765,1/11/2019,16,79,79,0420P,E,Warsoff Pl,100ft S/of Flushing,"Brooklyn, NY"
8725067655,1/13/2019,40,83,83,0759A,E,Knickerbocker Ave,100ft S/of Madison S,"Brooklyn, NY"
8717800778,1/14/2019,17,79,79,0209P,E,Vermont St,100ft S/of Pitkin Av,"Brooklyn, NY"
8717800766,1/14/2019,46,79,79,0208P,E,Vermont St,100ft S/of Pitkin Av,"Brooklyn, NY"
8717800754,1/14/2019,17,79,79,0204P,E,Vermont St,100ft S/of Pitkin Av,"Brooklyn, NY"
8676196771,1/12/2019,21,88,88,0813A,W,Ashland Pl,100ft S/of Willoughb,"Brooklyn, NY"
8711163008,1/14/2019,21,79,79,0844A,W,Sanford St,100ft S/of Willoughb,"Brooklyn, NY"
8724655727,1/14/2019,21,94,94,1156A,S,Meeker Ave,100ft W/of Manhattan,"Brooklyn, NY"
8611690760,1/13/2019,71,88,88,1214P,S,Park Ave,100ft W/of N Elliott,"Brooklyn, NY"
8711273501,1/11/2019,14,94,94,1032P,S,N 12th St,10ft E/of Bedford Av,"Brooklyn, NY"
8708936250,1/13/2019,14,94,94,0423P,S,N 8th St,10ft E/of Bedford Av,"Brooklyn, NY"
8708935610,1/12/2019,14,94,94,1243P,N,Metropolitan Ave,10ft E/of Berry St,"Brooklyn, NY"
8532935989,1/12/2019,14,83,83,0452A,N,Evergreen Ave,10ft E/of Cedar St,"Brooklyn, NY"
8539023957,1/14/2019,14,94,94,0233P,N,N 9th St,10ft E/of Driggs Ave,"Brooklyn, NY"
8714727481,1/11/2019,14,94,94,0950P,N,Green St,10ft E/of Franklin S,"Brooklyn, NY"
8723262965,1/11/2019,21,90,90,1000A,S,Seigel St,10ft E/of Humboldt S,"Brooklyn, NY"
8692595251,1/14/2019,14,90,90,0412P,N,Clymer St,10ft E/of Kent Ave,"Brooklyn, NY"
8579222084,1/14/2019,14,90,90,0738A,N,Division Ave,10ft E/of Kent Ave,"Brooklyn, NY"
8723264226,1/14/2019,71,83,83,0229P,S,Himrod St,10ft E/of Knickerboc,"Brooklyn, NY"
8724655338,1/12/2019,71,90,90,0211P,S,Moore St,10ft E/of Leonard St,"Brooklyn, NY"
8723263003,1/11/2019,21,90,90,1011A,S,Varet St,10ft E/of Manhattan,"Brooklyn, NY"
8611690758,1/13/2019,71,88,88,1208P,S,Park Ave,10ft E/of N Portland,"Brooklyn, NY"
8636960885,1/12/2019,68,90,90,0759A,S,Meeker Ave,10ft E/of Withers St,"Brooklyn, NY"
8538174174,1/11/2019,16,94,94,0314P,S,N 5th St,10ft E/of Wythe Ave,"Brooklyn, NY"
8723263076,1/11/2019,21,90,90,1112A,E,Throop Ave,10ft N/of Bartlett S,"Brooklyn, NY"
8695487453,1/14/2019,21,90,90,1114A,W,Throop Ave,10ft N/of Bartlett S,"Brooklyn, NY"
8715574520,1/14/2019,14,83,83,1011A,E,Central Ave,10ft N/of Harman St,"Brooklyn, NY"
8702771913,1/11/2019,14,90,90,1251P,E,Bogart St,10ft N/of Ingraham S,"Brooklyn, NY"
8690612865,1/11/2019,70,81,81,1108A,W,Malcolm X Blvd,10ft N/of Lexington,"Brooklyn, NY"
8722756668,1/12/2019,38,94,94,1015A,E,Bedford Ave,10ft N/of N 4th St,"Brooklyn, NY"
8638199016,1/12/2019,21,94,94,0812A,E,Bedford Ave,10ft N/of N 4th St,"Brooklyn, NY"
8711273458,1/11/2019,14,94,94,0913P,E,Kent Ave,10ft N/of N 8th St,"Brooklyn, NY"
8715574672,1/14/2019,14,81,81,0306P,W,Broadway,10ft N/of Quincy St,"Brooklyn, NY"
8676197404,1/14/2019,16,90,90,0107P,E,Driggs Ave,10ft N/of S 8th St,"Brooklyn, NY"
8714727547,1/11/2019,77,90,90,1103P,E,Wythe Ave,10ft N/of S 9th St,"Brooklyn, NY"
8724655843,1/14/2019,14,94,94,0300P,E,McGuinness Blvd,10ft S/of Broome St,"Brooklyn, NY"
8714727559,1/11/2019,77,90,90,1114P,E,Wythe Ave,10ft S/of Clymer St,"Brooklyn, NY"
8581008185,1/11/2019,20,88,88,0348P,W,Ashland Pl,10ft S/of Lafayette,"Brooklyn, NY"
8702772115,1/13/2019,20,88,88,1057A,W,Ashland Pl,10ft S/of Lafayette,"Brooklyn, NY"
8724654978,1/11/2019,21,90,90,1118A,E,Wallabout St,10ft S/of Lee Ave,"Brooklyn, NY"
8728704502,1/14/2019,40,79,79,1058A,E,Marcy Ave,10ft S/of Madison St,"Brooklyn, NY"
8705972139,1/11/2019,14,88,88,1121A,E,St Edwards St,10ft S/of Myrtle Ave,"Brooklyn, NY"
8611690930,1/14/2019,20,94,94,0154P,E,Driggs Ave,10ft S/of N 12th St,"Brooklyn, NY"
8693327136,1/14/2019,14,83,83,0145P,N,Halsey St,10ft W/of Broadway,"Brooklyn, NY"
8643339659,1/14/2019,20,79,79,0350P,S,Stockton St,10ft W/of Broadway,"Brooklyn, NY"
8581008197,1/11/2019,14,90,90,0450P,N,S 4th St,10ft W/of Rodney St,"Brooklyn, NY"
8723263155,1/11/2019,21,90,90,1128A,S,Wallabout St,10ft W/of Throop Ave,"Brooklyn, NY"
8702773260,1/14/2019,74,94,94,0619P,N,Greenpoint Ave,10ft W/of West St,"Brooklyn, NY"
8723262849,1/11/2019,21,90,90,0858A,E,Humboldt St,110ft S/of Maujer St,"Brooklyn, NY"
8724655340,1/12/2019,71,90,90,0217P,W,Leonard St,110ft S/of Montrose,"Brooklyn, NY"
8692649960,1/14/2019,51,90,90,0255P,S,Scholes St,110ft W/of Morgan Av,"Brooklyn, NY"
8676196760,1/12/2019,21,88,88,0812A,W,Ashland Pl,120ft S/of Willoughb,"Brooklyn, NY"
8711163010,1/14/2019,21,79,79,0845A,W,Sanford St,120ft S/of Willoughb,"Brooklyn, NY"
