Summons Number,Violation Code,Violation Time,House Number,Street Name,City & State,Zip Code,Lat,Long
8725653684,71,0319P,235,Bedford Ave,"Brooklyn,  NY",11211,,
8725653696,20,0322P,235,Bedford Ave,"Brooklyn,  NY",11211,,
8725653702,20,0324P,235,Bedford Ave,"Brooklyn,  NY",11211,,
8670481194,21,1138A,133,Frost St,"Brooklyn,  NY",11211,,
8670481212,21,1140A,133,Frost St,"Brooklyn,  NY",11211,,
8670481200,21,1139A,133,Frost St,"Brooklyn,  NY",11211,,
8670481224,21,1141A,141,Frost St,"Brooklyn,  NY",11211,,
8670481236,21,1142A,145,Frost St,"Brooklyn,  NY",11211,,
8670481248,21,1143A,151,Frost St,"Brooklyn,  NY",11211,,
8708932311,71,0148P,168,Frost St,"Brooklyn,  NY",11211,,
8702766942,21,1153A,175,Frost St,"Brooklyn,  NY",11211,,
8702766905,21,1147A,237,Frost St,"Brooklyn,  NY",11211,,
8702766917,21,1149A,239,Frost St,"Brooklyn,  NY",11211,,
8702766929,21,1149A,245,Frost St,"Brooklyn,  NY",11211,,
8702766930,21,1150A,247,Frost St,"Brooklyn,  NY",11211,,
8699770583,71,0749A,290,Frost St,"Brooklyn,  NY",11211,,
8699770595,70,0753A,340,Frost St,"Brooklyn,  NY",11211,,
8636958866,21,1153A,471,Humboldt St,"Brooklyn,  NY",11211,,
1438401164,46,0730A,32,Jackson St,"Brooklyn,  NY",11211,,
8692589627,21,0952A,59,Jackson St,"Brooklyn,  NY",11211,,
8692589639,21,0953A,59,Jackson St,"Brooklyn,  NY",11211,,
8692589603,21,0948A,75,Jackson St,"Brooklyn,  NY",11211,,
8692589585,21,0946A,103,Jackson St,"Brooklyn,  NY",11211,,
8692589597,21,0946A,107,Jackson St,"Brooklyn,  NY",11211,,
8692589573,21,0944A,120,Jackson St,"Brooklyn,  NY",11211,,
8670481303,71,1154A,129,Jackson St,"Brooklyn,  NY",11211,,
8699770911,21,1141A,129,Jackson St,"Brooklyn,  NY",11211,,
8699770923,21,1142A,135,Jackson St,"Brooklyn,  NY",11211,,
8699770935,21,1145A,159,Jackson St,"Brooklyn,  NY",11211,,
8699770947,21,1146A,167,Jackson St,"Brooklyn,  NY",11211,,
8699770959,21,1147A,169,Jackson St,"Brooklyn,  NY",11211,,
8692589792,21,1148A,181,Jackson St,"Brooklyn,  NY",11211,,
8692589780,21,1146A,199,Jackson St,"Brooklyn,  NY",11211,,
8699770546,71,0729A,199,Jackson St,"Brooklyn,  NY",11211,,
8692589755,21,1143A,205,Jackson St,"Brooklyn,  NY",11211,,
8692589767,21,1144A,207,Jackson St,"Brooklyn,  NY",11211,,
