Geography Name,Working Class,Lower Middle Class,Middle Class,Upper Middle Class,Upper Class,Total ,Percent Working Class,Percent Lower Middle Class,Percent Middle Class,Percent Upper Middle Class,Percent Upper Class,Lower Class,Upper Class,Percent Lower,Percent Upper
Addison,5538,3837,2178,3441,3811,18805,0.2944961446,0.2040414783,0.1158202606,0.1829832491,0.1829832491,9375,7252,0.498537623,0.3856421165
Bennington,6345,4069,1936,3018,3177,18545,0.3421407387,0.2194122405,0.1043947156,0.1627392828,0.1627392828,10414,6195,0.5615529792,0.3340523052
Caledonia,5094,3520,1661,"2,570",2001,14846,0.3431227267,0.2371009026,0.1118819884,0.1731106022,0.1731106022,8614,"4,571",0.5802236293,0.3078943823
Chittenden,21306,16040,9427,"15,104",20784,82661,0.2577515394,0.1940455596,0.1140441079,0.1827222027,0.1827222027,37346,"35,888",0.451797099,0.4341587931
Essex,1272,871,374,522,344,3383,0.3759976352,0.2574637895,0.1105527638,0.1543009163,0.1543009163,2143,866,0.6334614248,0.2559858114
Franklin,6945,5654,3188,4995,4487,25269,0.2748426926,0.2237524239,0.1261624916,0.1976730381,0.1976730381,12599,9482,0.4985951165,0.3752423919
Grand Isle,1044,822,448,746,899,3959,0.2637029553,0.2076281889,0.1131598889,0.1884314221,0.1884314221,1866,1645,0.4713311442,0.4155089669
Lamoille,4420,3157,1531,2294,2438,13840,0.3193641618,0.2281069364,0.1106213873,0.1657514451,0.1657514451,7577,4732,0.5474710983,0.3419075145
Orange,4954,3495,1922,2956,2548,15875,0.3120629921,0.2201574803,0.1210708661,0.1862047244,0.1862047244,8449,5504,0.5322204724,0.3467086614
Orleans,5175,3350,1547,2185,1608,13865,0.3732419762,0.2416155788,0.1115759106,0.1575910566,0.1575910566,8525,3793,0.614857555,0.2735665344
Rutland,11694,8325,3981,6022,5061,35083,0.3333238321,0.2372944161,0.1134737622,0.1716500869,0.1716500869,20019,11083,0.5706182482,0.3159079896
Washington,8628,6132,3819,5663,6139,30381,0.2839932853,0.2018366742,0.1257035647,0.1863993944,0.1863993944,14760,11802,0.4858299595,0.3884664758
Windham,7621,4845,2578,3825,3439,22308,0.3416263224,0.2171866595,0.1155639233,0.1714631522,0.1714631522,12466,7264,0.5588129819,0.3256230949
Windsor,9128,6255,3323,5282,5925,29913,0.3051516063,0.2091064086,0.1110888243,0.176578745,0.176578745,15383,11207,0.5142580149,0.3746531608
