County,Working class,Lower Middle Class,Upper Middle Class,Upper Class
Addison,9375,3717,1902,3811
Bennington,10414,3342,1612,3177
Caledonia,8614,2867,"1,364",2001
Chittenden,37346,16364,"8,167",20784
Essex,2143,605,291,344
Franklin,12599,5410,2773,4487
Grand Isle,1866,785,409,899
Lamoille,7577,2570,1255,2438
Orange,8449,3264,1614,2548
Orleans,8525,2611,1121,1608
Rutland,20019,6806,3197,5061
Washington,14760,6405,3077,6139
Windham,12466,4352,2051,3439
Windsor,15383,5748,2857,5925
